test	machine	time	rows	dataset	matches	ndistinct	build	prefetch	table_size	index_size	scan_type	caching	run	value	nfound	cost	duration	point_cheapest	indexscan	bitmapscan	seqscan
btree	i5	1687996798	1000000	cycle	1	1000000	patched	0	43479	2745	seqscan	cached	1	48125	2	55979.21	141.974	f	8.44	8.45	55979.21
btree	i5	1687996681	1000000	cycle	10	100000	master	0	43479	1157	bitmapscan	cached	1	238	11	44.17	7.074	t	44.29	44.17	55979.21
btree	i5	1687996683	1000000	cycle	10	100000	master	0	43479	1157	bitmapscan	cached	2	39904	11	44.17	7.201	t	44.29	44.17	55979.21
btree	i5	1687996684	1000000	cycle	10	100000	master	0	43479	1157	bitmapscan	cached	3	40057	11	44.17	7.248	t	44.29	44.17	55979.21
btree	i5	1687996684	1000000	cycle	10	100000	master	0	43479	1157	bitmapscan	cached	4	65007	11	44.17	7.194	t	44.29	44.17	55979.21
btree	i5	1687996685	1000000	cycle	10	100000	master	0	43479	1157	bitmapscan	cached	5	90444	11	44.17	7.139	t	44.29	44.17	55979.21
btree	i5	1687996681	1000000	cycle	10	100000	master	0	43479	1157	indexscan	cached	1	12919	11	44.29	7.165	f	44.29	44.17	55979.21
btree	i5	1687996683	1000000	cycle	10	100000	master	0	43479	1157	indexscan	cached	2	22344	11	44.29	7.007	f	44.29	44.17	55979.21
btree	i5	1687996683	1000000	cycle	10	100000	master	0	43479	1157	indexscan	cached	3	47648	11	44.29	7.159	f	44.29	44.17	55979.21
btree	i5	1687996684	1000000	cycle	10	100000	master	0	43479	1157	indexscan	cached	4	64117	11	44.29	7.152	f	44.29	44.17	55979.21
btree	i5	1687996685	1000000	cycle	10	100000	master	0	43479	1157	indexscan	cached	5	94318	11	44.29	7.122	f	44.29	44.17	55979.21
btree	i5	1687996682	1000000	cycle	10	100000	master	0	43479	1157	seqscan	cached	1	15476	11	55979.21	143.344	f	44.29	44.17	55979.21
btree	i5	1687996691	1000000	cycle	10	100000	patched	0	43479	1157	bitmapscan	cached	1	12736	11	44.17	7.134	t	44.29	44.17	55979.21
btree	i5	1687996692	1000000	cycle	10	100000	patched	0	43479	1157	bitmapscan	cached	2	30115	11	44.17	7.229	t	44.29	44.17	55979.21
btree	i5	1687996693	1000000	cycle	10	100000	patched	0	43479	1157	bitmapscan	cached	3	58501	11	44.17	7.164	t	44.29	44.17	55979.21
btree	i5	1687996694	1000000	cycle	10	100000	patched	0	43479	1157	bitmapscan	cached	4	75262	11	44.17	7.164	t	44.29	44.17	55979.21
btree	i5	1687996694	1000000	cycle	10	100000	patched	0	43479	1157	bitmapscan	cached	5	93234	11	44.17	7.073	t	44.29	44.17	55979.21
btree	i5	1687996690	1000000	cycle	10	100000	patched	0	43479	1157	indexscan	cached	1	3562	11	44.29	7.107	f	44.29	44.17	55979.21
