test machine time rows dataset matches distinct build nvalues distance prefetch table_size index_size scan_type caching run value nfound cost duration
btree-saop i5 1686733572 50000000 random 1000 50000 master 5 1 0 2173914 44238 indexscan uncached 1 2960 5022 20114.72 787.235000
btree-saop i5 1686733575 50000000 random 1000 50000 master 5 1 0 2173914 44238 indexscan cached 1 2960 5022 20114.72 17.176000
btree-saop i5 1686733575 50000000 random 1000 50000 master 5 1 0 2173914 44238 bitmapscan uncached 1 8924 5120 19431.17 812.771000
btree-saop i5 1686733576 50000000 random 1000 50000 master 5 1 0 2173914 44238 bitmapscan cached 1 8924 5120 19431.17 16.410000
btree-saop i5 1686733576 50000000 random 1000 50000 master 5 1 0 2173914 44238 seqscan uncached 1 6445 4969 2986414.39 15633.773000
btree-saop i5 1686733592 50000000 random 1000 50000 master 5 1 0 2173914 44238 seqscan cached 1 6445 4969 2986414.39 15728.278000
btree-saop i5 1686733608 50000000 random 1000 50000 master 5 1 0 2173914 44238 indexscan uncached 2 18856 4940 20114.72 784.667000
btree-saop i5 1686733610 50000000 random 1000 50000 master 5 1 0 2173914 44238 indexscan cached 2 18856 4940 20114.72 14.618000
btree-saop i5 1686733610 50000000 random 1000 50000 master 5 1 0 2173914 44238 bitmapscan uncached 2 12815 4980 19431.17 782.659000
btree-saop i5 1686733611 50000000 random 1000 50000 master 5 1 0 2173914 44238 bitmapscan cached 2 12815 4980 19431.17 16.174000
btree-saop i5 1686733611 50000000 random 1000 50000 master 5 1 0 2173914 44238 indexscan uncached 3 26237 5004 20114.72 775.695000
btree-saop i5 1686733612 50000000 random 1000 50000 master 5 1 0 2173914 44238 indexscan cached 3 26237 5004 20114.72 14.390000
btree-saop i5 1686733612 50000000 random 1000 50000 master 5 1 0 2173914 44238 bitmapscan uncached 3 27347 5039 19431.17 791.917000
btree-saop i5 1686733613 50000000 random 1000 50000 master 5 1 0 2173914 44238 bitmapscan cached 3 27347 5039 19431.17 16.547000
btree-saop i5 1686733613 50000000 random 1000 50000 master 5 1 0 2173914 44238 indexscan uncached 4 33200 5145 20114.72 805.229000
btree-saop i5 1686733614 50000000 random 1000 50000 master 5 1 0 2173914 44238 indexscan cached 4 33200 5145 20114.72 15.234000
btree-saop i5 1686733615 50000000 random 1000 50000 master 5 1 0 2173914 44238 bitmapscan uncached 4 31587 5010 19431.17 773.019000
btree-saop i5 1686733616 50000000 random 1000 50000 master 5 1 0 2173914 44238 bitmapscan cached 4 31587 5010 19431.17 16.369000
btree-saop i5 1686733616 50000000 random 1000 50000 master 5 1 0 2173914 44238 indexscan uncached 5 42265 4988 20114.72 763.237000
btree-saop i5 1686733617 50000000 random 1000 50000 master 5 1 0 2173914 44238 indexscan cached 5 42265 4988 20114.72 14.846000
btree-saop i5 1686733617 50000000 random 1000 50000 master 5 1 0 2173914 44238 bitmapscan uncached 5 46564 4840 19431.17 765.911000
btree-saop i5 1686733618 50000000 random 1000 50000 master 5 1 0 2173914 44238 bitmapscan cached 5 46564 4840 19431.17 17.755000
btree-saop i5 1686733618 50000000 random 1000 50000 master 5 1 32 2173914 44238 indexscan uncached 1 4391 4895 20114.72 760.332000
btree-saop i5 1686733619 50000000 random 1000 50000 master 5 1 32 2173914 44238 indexscan cached 1 4391 4895 20114.72 14.403000
btree-saop i5 1686733619 50000000 random 1000 50000 master 5 1 32 2173914 44238 bitmapscan uncached 1 2134 4980 19431.17 102.344000
btree-saop i5 1686733620 50000000 random 1000 50000 master 5 1 32 2173914 44238 bitmapscan cached 1 2134 4980 19431.17 17.455000
btree-saop i5 1686733620 50000000 random 1000 50000 master 5 1 32 2173914 44238 seqscan uncached 1 154 5022 2986414.39 15521.981000
btree-saop i5 1686733636 50000000 random 1000 50000 master 5 1 32 2173914 44238 seqscan cached 1 154 5022 2986414.39 15713.250000
btree-saop i5 1686733651 50000000 random 1000 50000 master 5 1 32 2173914 44238 indexscan uncached 2 18842 5020 20114.72 771.025000
btree-saop i5 1686733653 50000000 random 1000 50000 master 5 1 32 2173914 44238 indexscan cached 2 18842 5020 20114.72 14.545000
btree-saop i5 1686733653 50000000 random 1000 50000 master 5 1 32 2173914 44238 bitmapscan uncached 2 11294 4945 19431.17 96.074000
btree-saop i5 1686733654 50000000 random 1000 50000 master 5 1 32 2173914 44238 bitmapscan cached 2 11294 4945 19431.17 16.836000
btree-saop i5 1686733654 50000000 random 1000 50000 master 5 1 32 2173914 44238 indexscan uncached 3 22354 5071 20114.72 837.190000
btree-saop i5 1686733655 50000000 random 1000 50000 master 5 1 32 2173914 44238 indexscan cached 3 22354 5071 20114.72 14.603000
