test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration
hash i5 1686703131 10000000 random 1000 10000 master 0 434783 53134 indexscan uncached 1 848 1061 4021.43 172.165000
hash i5 1686703132 10000000 random 1000 10000 master 0 434783 53134 indexscan cached 1 848 1061 4021.43 10.592000
hash i5 1686703132 10000000 random 1000 10000 master 0 434783 53134 bitmapscan uncached 1 1609 1023 3881.37 166.625000
hash i5 1686703132 10000000 random 1000 10000 master 0 434783 53134 bitmapscan cached 1 1609 1023 3881.37 10.320000
hash i5 1686703132 10000000 random 1000 10000 master 0 434783 53134 seqscan uncached 1 932 964 559783.11 3133.474000
hash i5 1686703136 10000000 random 1000 10000 master 0 434783 53134 seqscan cached 1 932 964 559783.11 1299.940000
hash i5 1686703137 10000000 random 1000 10000 master 0 434783 53134 indexscan uncached 2 3477 1057 4021.43 175.124000
hash i5 1686703138 10000000 random 1000 10000 master 0 434783 53134 indexscan cached 2 3477 1057 4021.43 9.514000
hash i5 1686703138 10000000 random 1000 10000 master 0 434783 53134 bitmapscan uncached 2 3964 1037 3881.37 169.393000
hash i5 1686703138 10000000 random 1000 10000 master 0 434783 53134 bitmapscan cached 2 3964 1037 3881.37 9.823000
hash i5 1686703138 10000000 random 1000 10000 master 0 434783 53134 indexscan uncached 3 5719 1034 4021.43 172.490000
hash i5 1686703139 10000000 random 1000 10000 master 0 434783 53134 indexscan cached 3 5719 1034 4021.43 9.411000
hash i5 1686703139 10000000 random 1000 10000 master 0 434783 53134 bitmapscan uncached 3 5213 955 3881.37 158.613000
hash i5 1686703139 10000000 random 1000 10000 master 0 434783 53134 bitmapscan cached 3 5213 955 3881.37 9.704000
hash i5 1686703139 10000000 random 1000 10000 master 0 434783 53134 indexscan uncached 4 6592 974 4021.43 161.436000
hash i5 1686703140 10000000 random 1000 10000 master 0 434783 53134 indexscan cached 4 6592 974 4021.43 9.845000
hash i5 1686703140 10000000 random 1000 10000 master 0 434783 53134 bitmapscan uncached 4 6403 1025 3881.37 167.556000
hash i5 1686703140 10000000 random 1000 10000 master 0 434783 53134 bitmapscan cached 4 6403 1025 3881.37 9.701000
hash i5 1686703140 10000000 random 1000 10000 master 0 434783 53134 indexscan uncached 5 9317 1028 4021.43 171.621000
hash i5 1686703141 10000000 random 1000 10000 master 0 434783 53134 indexscan cached 5 9317 1028 4021.43 9.482000
hash i5 1686703141 10000000 random 1000 10000 master 0 434783 53134 bitmapscan uncached 5 9087 978 3881.37 160.246000
hash i5 1686703141 10000000 random 1000 10000 master 0 434783 53134 bitmapscan cached 5 9087 978 3881.37 9.728000
hash i5 1686703142 10000000 random 1000 10000 master 32 434783 53134 indexscan uncached 1 1480 966 4021.43 161.039000
hash i5 1686703142 10000000 random 1000 10000 master 32 434783 53134 indexscan cached 1 1480 966 4021.43 9.362000
hash i5 1686703142 10000000 random 1000 10000 master 32 434783 53134 bitmapscan uncached 1 1054 1030 3881.37 33.322000
hash i5 1686703143 10000000 random 1000 10000 master 32 434783 53134 bitmapscan cached 1 1054 1030 3881.37 9.971000
hash i5 1686703143 10000000 random 1000 10000 master 32 434783 53134 seqscan uncached 1 43 1004 559783.11 3151.023000
hash i5 1686703146 10000000 random 1000 10000 master 32 434783 53134 seqscan cached 1 43 1004 559783.11 1300.450000
hash i5 1686703147 10000000 random 1000 10000 master 32 434783 53134 indexscan uncached 2 3387 996 4021.43 165.895000
hash i5 1686703148 10000000 random 1000 10000 master 32 434783 53134 indexscan cached 2 3387 996 4021.43 9.513000
hash i5 1686703148 10000000 random 1000 10000 master 32 434783 53134 bitmapscan uncached 2 2907 979 3881.37 32.111000
hash i5 1686703149 10000000 random 1000 10000 master 32 434783 53134 bitmapscan cached 2 2907 979 3881.37 10.293000
hash i5 1686703149 10000000 random 1000 10000 master 32 434783 53134 indexscan uncached 3 5588 1010 4021.43 163.857000
hash i5 1686703149 10000000 random 1000 10000 master 32 434783 53134 indexscan cached 3 5588 1010 4021.43 9.821000
hash i5 1686703149 10000000 random 1000 10000 master 32 434783 53134 bitmapscan uncached 3 4028 960 3881.37 31.217000
hash i5 1686703149 10000000 random 1000 10000 master 32 434783 53134 bitmapscan cached 3 4028 960 3881.37 10.068000
