test machine time rows dataset matches distinct build nvalues distance prefetch table_size index_size scan_type caching run value nfound cost duration
btree-saop i5 1686692286 10000000 random 1000 10000 master 5 1 0 434783 8853 indexscan uncached 1 93 4913 19949.47 770.913000
btree-saop i5 1686692288 10000000 random 1000 10000 master 5 1 0 434783 8853 indexscan cached 1 93 4913 19949.47 14.327000
btree-saop i5 1686692288 10000000 random 1000 10000 master 5 1 0 434783 8853 bitmapscan uncached 1 93 4913 18392.60 774.371000
btree-saop i5 1686692289 10000000 random 1000 10000 master 5 1 0 434783 8853 bitmapscan cached 1 93 4913 18392.60 16.111000
btree-saop i5 1686692289 10000000 random 1000 10000 master 5 1 0 434783 8853 seqscan uncached 1 797 5138 597283.15 3260.071000
btree-saop i5 1686692292 10000000 random 1000 10000 master 5 1 0 434783 8853 seqscan cached 1 797 5138 597283.15 1726.522000
btree-saop i5 1686692294 10000000 random 1000 10000 master 5 1 0 434783 8853 indexscan uncached 2 2438 5004 19949.47 770.292000
btree-saop i5 1686692295 10000000 random 1000 10000 master 5 1 0 434783 8853 indexscan cached 2 2438 5004 19949.47 14.313000
btree-saop i5 1686692295 10000000 random 1000 10000 master 5 1 0 434783 8853 bitmapscan uncached 2 2669 5120 18392.60 810.655000
btree-saop i5 1686692297 10000000 random 1000 10000 master 5 1 0 434783 8853 bitmapscan cached 2 2669 5120 18392.60 16.365000
btree-saop i5 1686692297 10000000 random 1000 10000 master 5 1 0 434783 8853 indexscan uncached 3 5675 5066 19949.47 797.237000
btree-saop i5 1686692298 10000000 random 1000 10000 master 5 1 0 434783 8853 indexscan cached 3 5675 5066 19949.47 16.911000
btree-saop i5 1686692298 10000000 random 1000 10000 master 5 1 0 434783 8853 bitmapscan uncached 3 5151 4992 18392.60 791.478000
btree-saop i5 1686692299 10000000 random 1000 10000 master 5 1 0 434783 8853 bitmapscan cached 3 5151 4992 18392.60 16.180000
btree-saop i5 1686692299 10000000 random 1000 10000 master 5 1 0 434783 8853 indexscan uncached 4 6859 4862 19949.47 770.705000
btree-saop i5 1686692300 10000000 random 1000 10000 master 5 1 0 434783 8853 indexscan cached 4 6859 4862 19949.47 15.007000
btree-saop i5 1686692300 10000000 random 1000 10000 master 5 1 0 434783 8853 bitmapscan uncached 4 6152 5101 18392.60 812.379000
btree-saop i5 1686692301 10000000 random 1000 10000 master 5 1 0 434783 8853 bitmapscan cached 4 6152 5101 18392.60 16.419000
btree-saop i5 1686692301 10000000 random 1000 10000 master 5 1 0 434783 8853 indexscan uncached 5 9306 5023 19949.47 777.428000
