test machine time rows dataset matches distinct build nvalues distance prefetch table_size index_size scan_type caching run value nfound cost duration
btree-saop xeon 1686912399 1000000 random 1000 1000 master 5 1 0 43479 888 indexscan uncached 1 185 4965 7144.92 534.388000
btree-saop xeon 1686912399 1000000 random 1000 1000 master 5 1 0 43479 888 indexscan cached 1 185 4965 7144.92 16.903000
btree-saop xeon 1686912399 1000000 random 1000 1000 master 5 1 0 43479 888 bitmapscan uncached 1 127 4940 6404.92 420.077000
btree-saop xeon 1686912400 1000000 random 1000 1000 master 5 1 0 43479 888 bitmapscan cached 1 127 4940 6404.92 17.881000
btree-saop xeon 1686912400 1000000 random 1000 1000 master 5 1 0 43479 888 seqscan uncached 1 95 5090 59728.87 273.058000
btree-saop xeon 1686912401 1000000 random 1000 1000 master 5 1 0 43479 888 seqscan cached 1 95 5090 59728.87 198.947000
btree-saop xeon 1686912401 1000000 random 1000 1000 master 5 1 0 43479 888 indexscan uncached 2 358 4968 7144.92 531.498000
btree-saop xeon 1686912402 1000000 random 1000 1000 master 5 1 0 43479 888 indexscan cached 2 358 4968 7144.92 16.482000
btree-saop xeon 1686912402 1000000 random 1000 1000 master 5 1 0 43479 888 bitmapscan uncached 2 395 4859 6404.92 413.648000
btree-saop xeon 1686912403 1000000 random 1000 1000 master 5 1 0 43479 888 bitmapscan cached 2 395 4859 6404.92 18.717000
btree-saop xeon 1686912403 1000000 random 1000 1000 master 5 1 0 43479 888 indexscan uncached 3 522 5053 7144.92 535.109000
btree-saop xeon 1686912404 1000000 random 1000 1000 master 5 1 0 43479 888 indexscan cached 3 522 5053 7144.92 17.504000
btree-saop xeon 1686912404 1000000 random 1000 1000 master 5 1 0 43479 888 bitmapscan uncached 3 512 5013 6404.92 439.109000
btree-saop xeon 1686912404 1000000 random 1000 1000 master 5 1 0 43479 888 bitmapscan cached 3 512 5013 6404.92 20.484000
btree-saop xeon 1686912405 1000000 random 1000 1000 master 5 1 0 43479 888 indexscan uncached 4 598 4936 7144.92 532.290000
btree-saop xeon 1686912405 1000000 random 1000 1000 master 5 1 0 43479 888 indexscan cached 4 598 4936 7144.92 18.705000
btree-saop xeon 1686912405 1000000 random 1000 1000 master 5 1 0 43479 888 bitmapscan uncached 4 704 5010 6404.92 426.941000
btree-saop xeon 1686912406 1000000 random 1000 1000 master 5 1 0 43479 888 bitmapscan cached 4 704 5010 6404.92 20.034000
btree-saop xeon 1686912406 1000000 random 1000 1000 master 5 1 0 43479 888 indexscan uncached 5 929 4998 7144.92 531.453000
btree-saop xeon 1686912407 1000000 random 1000 1000 master 5 1 0 43479 888 indexscan cached 5 929 4998 7144.92 18.590000
btree-saop xeon 1686912407 1000000 random 1000 1000 master 5 1 0 43479 888 bitmapscan uncached 5 810 5080 6404.92 439.665000
btree-saop xeon 1686912408 1000000 random 1000 1000 master 5 1 0 43479 888 bitmapscan cached 5 810 5080 6404.92 19.128000
btree-saop xeon 1686912408 1000000 random 1000 1000 master 5 1 32 43479 888 indexscan uncached 1 158 5118 7144.92 552.644000
btree-saop xeon 1686912409 1000000 random 1000 1000 master 5 1 32 43479 888 indexscan cached 1 158 5118 7144.92 19.670000
btree-saop xeon 1686912409 1000000 random 1000 1000 master 5 1 32 43479 888 bitmapscan uncached 1 56 5006 6404.92 78.147000
btree-saop xeon 1686912409 1000000 random 1000 1000 master 5 1 32 43479 888 bitmapscan cached 1 56 5006 6404.92 20.091000
btree-saop xeon 1686912410 1000000 random 1000 1000 master 5 1 32 43479 888 seqscan uncached 1 99 4980 59728.87 259.134000
btree-saop xeon 1686912410 1000000 random 1000 1000 master 5 1 32 43479 888 seqscan cached 1 99 4980 59728.87 200.145000
btree-saop xeon 1686912410 1000000 random 1000 1000 master 5 1 32 43479 888 indexscan uncached 2 392 5036 7144.92 529.552000
btree-saop xeon 1686912411 1000000 random 1000 1000 master 5 1 32 43479 888 indexscan cached 2 392 5036 7144.92 16.652000
btree-saop xeon 1686912411 1000000 random 1000 1000 master 5 1 32 43479 888 bitmapscan uncached 2 327 4907 6404.92 76.356000
btree-saop xeon 1686912412 1000000 random 1000 1000 master 5 1 32 43479 888 bitmapscan cached 2 327 4907 6404.92 19.322000
btree-saop xeon 1686912412 1000000 random 1000 1000 master 5 1 32 43479 888 indexscan uncached 3 540 5071 7144.92 541.485000
