test machine time rows dataset matches distinct build nvalues distance prefetch table_size index_size scan_type caching run value nfound cost duration
btree-saop xeon 1686919923 10000000 random 1000 10000 master 5 1 0 434783 8847 indexscan uncached 1 949 5013 7552.15 546.262000
btree-saop xeon 1686919924 10000000 random 1000 10000 master 5 1 0 434783 8847 indexscan cached 1 949 5013 7552.15 16.639000
btree-saop xeon 1686919924 10000000 random 1000 10000 master 5 1 0 434783 8847 bitmapscan uncached 1 1971 4958 7318.96 558.217000
btree-saop xeon 1686919925 10000000 random 1000 10000 master 5 1 0 434783 8847 bitmapscan cached 1 1971 4958 7318.96 20.214000
btree-saop xeon 1686919925 10000000 random 1000 10000 master 5 1 0 434783 8847 seqscan uncached 1 269 5062 597283.15 2294.536000
btree-saop xeon 1686919928 10000000 random 1000 10000 master 5 1 0 434783 8847 seqscan cached 1 269 5062 597283.15 1851.924000
btree-saop xeon 1686919930 10000000 random 1000 10000 master 5 1 0 434783 8847 indexscan uncached 2 2867 4994 7552.15 547.552000
btree-saop xeon 1686919931 10000000 random 1000 10000 master 5 1 0 434783 8847 indexscan cached 2 2867 4994 7552.15 16.406000
btree-saop xeon 1686919931 10000000 random 1000 10000 master 5 1 0 434783 8847 bitmapscan uncached 2 2964 4986 7318.96 559.703000
btree-saop xeon 1686919931 10000000 random 1000 10000 master 5 1 0 434783 8847 bitmapscan cached 2 2964 4986 7318.96 18.922000
btree-saop xeon 1686919932 10000000 random 1000 10000 master 5 1 0 434783 8847 indexscan uncached 3 4838 5081 7552.15 566.468000
btree-saop xeon 1686919932 10000000 random 1000 10000 master 5 1 0 434783 8847 indexscan cached 3 4838 5081 7552.15 18.511000
btree-saop xeon 1686919932 10000000 random 1000 10000 master 5 1 0 434783 8847 bitmapscan uncached 3 4474 5027 7318.96 571.458000
btree-saop xeon 1686919933 10000000 random 1000 10000 master 5 1 0 434783 8847 bitmapscan cached 3 4474 5027 7318.96 19.604000
btree-saop xeon 1686919933 10000000 random 1000 10000 master 5 1 0 434783 8847 indexscan uncached 4 6967 4980 7552.15 555.370000
btree-saop xeon 1686919934 10000000 random 1000 10000 master 5 1 0 434783 8847 indexscan cached 4 6967 4980 7552.15 17.755000
btree-saop xeon 1686919934 10000000 random 1000 10000 master 5 1 0 434783 8847 bitmapscan uncached 4 7638 4920 7318.96 563.028000
btree-saop xeon 1686919935 10000000 random 1000 10000 master 5 1 0 434783 8847 bitmapscan cached 4 7638 4920 7318.96 21.349000
btree-saop xeon 1686919935 10000000 random 1000 10000 master 5 1 0 434783 8847 indexscan uncached 5 8568 5041 7552.15 560.824000
btree-saop xeon 1686919936 10000000 random 1000 10000 master 5 1 0 434783 8847 indexscan cached 5 8568 5041 7552.15 17.824000
btree-saop xeon 1686919936 10000000 random 1000 10000 master 5 1 0 434783 8847 bitmapscan uncached 5 9680 5003 7318.96 570.718000
btree-saop xeon 1686919937 10000000 random 1000 10000 master 5 1 0 434783 8847 bitmapscan cached 5 9680 5003 7318.96 20.988000
btree-saop xeon 1686919937 10000000 random 1000 10000 master 5 1 32 434783 8847 indexscan uncached 1 1046 5093 7552.15 571.215000
btree-saop xeon 1686919938 10000000 random 1000 10000 master 5 1 32 434783 8847 indexscan cached 1 1046 5093 7552.15 18.747000
btree-saop xeon 1686919938 10000000 random 1000 10000 master 5 1 32 434783 8847 bitmapscan uncached 1 1196 5092 7318.96 82.957000
btree-saop xeon 1686919939 10000000 random 1000 10000 master 5 1 32 434783 8847 bitmapscan cached 1 1196 5092 7318.96 20.283000
btree-saop xeon 1686919939 10000000 random 1000 10000 master 5 1 32 434783 8847 seqscan uncached 1 614 5085 597283.15 2314.881000
btree-saop xeon 1686919941 10000000 random 1000 10000 master 5 1 32 434783 8847 seqscan cached 1 614 5085 597283.15 1859.905000
btree-saop xeon 1686919943 10000000 random 1000 10000 master 5 1 32 434783 8847 indexscan uncached 2 3631 4962 7552.15 544.526000
btree-saop xeon 1686919944 10000000 random 1000 10000 master 5 1 32 434783 8847 indexscan cached 2 3631 4962 7552.15 16.368000
btree-saop xeon 1686919944 10000000 random 1000 10000 master 5 1 32 434783 8847 bitmapscan uncached 2 3331 4941 7318.96 75.829000
btree-saop xeon 1686919945 10000000 random 1000 10000 master 5 1 32 434783 8847 bitmapscan cached 2 3331 4941 7318.96 18.642000
btree-saop xeon 1686919945 10000000 random 1000 10000 master 5 1 32 434783 8847 indexscan uncached 3 4704 4966 7552.15 548.064000
btree-saop xeon 1686919946 10000000 random 1000 10000 master 5 1 32 434783 8847 indexscan cached 3 4704 4966 7552.15 16.718000
btree-saop xeon 1686919946 10000000 random 1000 10000 master 5 1 32 434783 8847 bitmapscan uncached 3 4559 4959 7318.96 76.177000
btree-saop xeon 1686919946 10000000 random 1000 10000 master 5 1 32 434783 8847 bitmapscan cached 3 4559 4959 7318.96 19.379000
btree-saop xeon 1686919946 10000000 random 1000 10000 master 5 1 32 434783 8847 indexscan uncached 4 6944 4965 7552.15 552.067000
btree-saop xeon 1686919947 10000000 random 1000 10000 master 5 1 32 434783 8847 indexscan cached 4 6944 4965 7552.15 17.246000
btree-saop xeon 1686919947 10000000 random 1000 10000 master 5 1 32 434783 8847 bitmapscan uncached 4 7618 5069 7318.96 79.252000
btree-saop xeon 1686919948 10000000 random 1000 10000 master 5 1 32 434783 8847 bitmapscan cached 4 7618 5069 7318.96 19.630000
btree-saop xeon 1686919948 10000000 random 1000 10000 master 5 1 32 434783 8847 indexscan uncached 5 8637 5017 7552.15 559.726000
btree-saop xeon 1686919948 10000000 random 1000 10000 master 5 1 32 434783 8847 indexscan cached 5 8637 5017 7552.15 17.533000
btree-saop xeon 1686919949 10000000 random 1000 10000 master 5 1 32 434783 8847 bitmapscan uncached 5 9840 5012 7318.96 81.519000
btree-saop xeon 1686919949 10000000 random 1000 10000 master 5 1 32 434783 8847 bitmapscan cached 5 9840 5012 7318.96 19.802000
btree-saop xeon 1686919949 10000000 random 1000 10000 master 5 10 0 434783 8847 indexscan uncached 1 1924 5016 7552.15 564.348000
btree-saop xeon 1686919950 10000000 random 1000 10000 master 5 10 0 434783 8847 indexscan cached 1 1924 5016 7552.15 18.304000
btree-saop xeon 1686919950 10000000 random 1000 10000 master 5 10 0 434783 8847 bitmapscan uncached 1 1590 5148 7318.96 588.059000
btree-saop xeon 1686919951 10000000 random 1000 10000 master 5 10 0 434783 8847 bitmapscan cached 1 1590 5148 7318.96 20.227000
btree-saop xeon 1686919951 10000000 random 1000 10000 master 5 10 0 434783 8847 seqscan uncached 1 1835 5065 597283.15 2241.802000
