test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration
hash xeon 1686928448 10000000 random 1000 10000 master 0 434783 53142 indexscan uncached 1 191 948 1517.41 117.672000
hash xeon 1686928449 10000000 random 1000 10000 master 0 434783 53142 indexscan cached 1 191 948 1517.41 9.770000
hash xeon 1686928449 10000000 random 1000 10000 master 0 434783 53142 bitmapscan uncached 1 62 977 1496.39 119.032000
hash xeon 1686928450 10000000 random 1000 10000 master 0 434783 53142 bitmapscan cached 1 62 977 1496.39 10.523000
hash xeon 1686928450 10000000 random 1000 10000 master 0 434783 53142 seqscan uncached 1 1561 985 559783.11 2174.510000
hash xeon 1686928452 10000000 random 1000 10000 master 0 434783 53142 seqscan cached 1 1561 985 559783.11 1478.037000
hash xeon 1686928454 10000000 random 1000 10000 master 0 434783 53142 indexscan uncached 2 3695 989 1517.41 119.523000
hash xeon 1686928454 10000000 random 1000 10000 master 0 434783 53142 indexscan cached 2 3695 989 1517.41 10.099000
hash xeon 1686928454 10000000 random 1000 10000 master 0 434783 53142 bitmapscan uncached 2 3240 943 1496.39 115.402000
hash xeon 1686928455 10000000 random 1000 10000 master 0 434783 53142 bitmapscan cached 2 3240 943 1496.39 10.368000
hash xeon 1686928455 10000000 random 1000 10000 master 0 434783 53142 indexscan uncached 3 5184 994 1517.41 119.055000
hash xeon 1686928455 10000000 random 1000 10000 master 0 434783 53142 indexscan cached 3 5184 994 1517.41 10.104000
hash xeon 1686928455 10000000 random 1000 10000 master 0 434783 53142 bitmapscan uncached 3 5331 995 1496.39 121.841000
hash xeon 1686928456 10000000 random 1000 10000 master 0 434783 53142 bitmapscan cached 3 5331 995 1496.39 10.982000
hash xeon 1686928456 10000000 random 1000 10000 master 0 434783 53142 indexscan uncached 4 6931 976 1517.41 119.936000
hash xeon 1686928456 10000000 random 1000 10000 master 0 434783 53142 indexscan cached 4 6931 976 1517.41 11.850000
hash xeon 1686928456 10000000 random 1000 10000 master 0 434783 53142 bitmapscan uncached 4 6137 1000 1496.39 125.800000
hash xeon 1686928457 10000000 random 1000 10000 master 0 434783 53142 bitmapscan cached 4 6137 1000 1496.39 12.747000
hash xeon 1686928457 10000000 random 1000 10000 master 0 434783 53142 indexscan uncached 5 9894 989 1517.41 122.763000
hash xeon 1686928457 10000000 random 1000 10000 master 0 434783 53142 indexscan cached 5 9894 989 1517.41 11.817000
hash xeon 1686928457 10000000 random 1000 10000 master 0 434783 53142 bitmapscan uncached 5 9859 1059 1496.39 132.405000
hash xeon 1686928458 10000000 random 1000 10000 master 0 434783 53142 bitmapscan cached 5 9859 1059 1496.39 12.605000
hash xeon 1686928458 10000000 random 1000 10000 master 32 434783 53142 indexscan uncached 1 650 976 1517.41 122.412000
hash xeon 1686928458 10000000 random 1000 10000 master 32 434783 53142 indexscan cached 1 650 976 1517.41 12.429000
hash xeon 1686928458 10000000 random 1000 10000 master 32 434783 53142 bitmapscan uncached 1 647 1000 1496.39 29.423000
hash xeon 1686928459 10000000 random 1000 10000 master 32 434783 53142 bitmapscan cached 1 647 1000 1496.39 12.886000
hash xeon 1686928459 10000000 random 1000 10000 master 32 434783 53142 seqscan uncached 1 1969 976 559783.11 2187.932000
hash xeon 1686928461 10000000 random 1000 10000 master 32 434783 53142 seqscan cached 1 1969 976 559783.11 1493.796000
hash xeon 1686928463 10000000 random 1000 10000 master 32 434783 53142 indexscan uncached 2 3973 1067 1517.41 128.805000
hash xeon 1686928463 10000000 random 1000 10000 master 32 434783 53142 indexscan cached 2 3973 1067 1517.41 10.239000
hash xeon 1686928463 10000000 random 1000 10000 master 32 434783 53142 bitmapscan uncached 2 2685 977 1496.39 26.915000
hash xeon 1686928464 10000000 random 1000 10000 master 32 434783 53142 bitmapscan cached 2 2685 977 1496.39 11.238000
hash xeon 1686928464 10000000 random 1000 10000 master 32 434783 53142 indexscan uncached 3 4417 991 1517.41 122.627000
hash xeon 1686928464 10000000 random 1000 10000 master 32 434783 53142 indexscan cached 3 4417 991 1517.41 11.714000
hash xeon 1686928464 10000000 random 1000 10000 master 32 434783 53142 bitmapscan uncached 3 5492 987 1496.39 27.740000
hash xeon 1686928465 10000000 random 1000 10000 master 32 434783 53142 bitmapscan cached 3 5492 987 1496.39 12.133000
hash xeon 1686928465 10000000 random 1000 10000 master 32 434783 53142 indexscan uncached 4 6586 1013 1517.41 126.296000
hash xeon 1686928465 10000000 random 1000 10000 master 32 434783 53142 indexscan cached 4 6586 1013 1517.41 12.768000
hash xeon 1686928465 10000000 random 1000 10000 master 32 434783 53142 bitmapscan uncached 4 6569 1012 1496.39 28.979000
hash xeon 1686928465 10000000 random 1000 10000 master 32 434783 53142 bitmapscan cached 4 6569 1012 1496.39 12.209000
hash xeon 1686928466 10000000 random 1000 10000 master 32 434783 53142 indexscan uncached 5 8831 1015 1517.41 126.552000
hash xeon 1686928466 10000000 random 1000 10000 master 32 434783 53142 indexscan cached 5 8831 1015 1517.41 12.218000
hash xeon 1686928466 10000000 random 1000 10000 master 32 434783 53142 bitmapscan uncached 5 9242 999 1496.39 29.093000
hash xeon 1686928466 10000000 random 1000 10000 master 32 434783 53142 bitmapscan cached 5 9242 999 1496.39 12.107000
hash xeon 1686928467 10000000 random 1000 10000 patched 0 434783 53142 indexscan uncached 1 358 1020 1517.41 126.822000
hash xeon 1686928467 10000000 random 1000 10000 patched 0 434783 53142 indexscan cached 1 358 1020 1517.41 13.118000
hash xeon 1686928467 10000000 random 1000 10000 patched 0 434783 53142 bitmapscan uncached 1 596 1006 1496.39 126.376000
hash xeon 1686928468 10000000 random 1000 10000 patched 0 434783 53142 bitmapscan cached 1 596 1006 1496.39 12.320000
hash xeon 1686928468 10000000 random 1000 10000 patched 0 434783 53142 seqscan uncached 1 1853 972 559783.11 2178.184000
hash xeon 1686928470 10000000 random 1000 10000 patched 0 434783 53142 seqscan cached 1 1853 972 559783.11 1525.432000
hash xeon 1686928472 10000000 random 1000 10000 patched 0 434783 53142 indexscan uncached 2 2153 1047 1517.41 125.761000
hash xeon 1686928472 10000000 random 1000 10000 patched 0 434783 53142 indexscan cached 2 2153 1047 1517.41 10.445000
hash xeon 1686928473 10000000 random 1000 10000 patched 0 434783 53142 bitmapscan uncached 2 2964 996 1496.39 120.799000
hash xeon 1686928473 10000000 random 1000 10000 patched 0 434783 53142 bitmapscan cached 2 2964 996 1496.39 11.746000
hash xeon 1686928473 10000000 random 1000 10000 patched 0 434783 53142 indexscan uncached 3 4449 989 1517.41 121.682000
hash xeon 1686928473 10000000 random 1000 10000 patched 0 434783 53142 indexscan cached 3 4449 989 1517.41 11.663000
hash xeon 1686928473 10000000 random 1000 10000 patched 0 434783 53142 bitmapscan uncached 3 5177 960 1496.39 120.725000
hash xeon 1686928474 10000000 random 1000 10000 patched 0 434783 53142 bitmapscan cached 3 5177 960 1496.39 12.594000
hash xeon 1686928474 10000000 random 1000 10000 patched 0 434783 53142 indexscan uncached 4 6652 1041 1517.41 129.248000
hash xeon 1686928474 10000000 random 1000 10000 patched 0 434783 53142 indexscan cached 4 6652 1041 1517.41 12.559000
hash xeon 1686928474 10000000 random 1000 10000 patched 0 434783 53142 bitmapscan uncached 4 6743 1052 1496.39 131.981000
hash xeon 1686928475 10000000 random 1000 10000 patched 0 434783 53142 bitmapscan cached 4 6743 1052 1496.39 12.874000
hash xeon 1686928475 10000000 random 1000 10000 patched 0 434783 53142 indexscan uncached 5 9645 979 1517.41 119.800000
hash xeon 1686928475 10000000 random 1000 10000 patched 0 434783 53142 indexscan cached 5 9645 979 1517.41 11.344000
hash xeon 1686928475 10000000 random 1000 10000 patched 0 434783 53142 bitmapscan uncached 5 8640 963 1496.39 122.090000
hash xeon 1686928476 10000000 random 1000 10000 patched 0 434783 53142 bitmapscan cached 5 8640 963 1496.39 12.516000
hash xeon 1686928476 10000000 random 1000 10000 patched 32 434783 53142 indexscan uncached 1 1773 1009 1517.41 28.687000
hash xeon 1686928476 10000000 random 1000 10000 patched 32 434783 53142 indexscan cached 1 1773 1009 1517.41 13.011000
hash xeon 1686928477 10000000 random 1000 10000 patched 32 434783 53142 bitmapscan uncached 1 1788 947 1496.39 28.230000
hash xeon 1686928477 10000000 random 1000 10000 patched 32 434783 53142 bitmapscan cached 1 1788 947 1496.39 12.299000
hash xeon 1686928477 10000000 random 1000 10000 patched 32 434783 53142 seqscan uncached 1 832 966 559783.11 2182.394000
hash xeon 1686928479 10000000 random 1000 10000 patched 32 434783 53142 seqscan cached 1 832 966 559783.11 1519.986000
hash xeon 1686928481 10000000 random 1000 10000 patched 32 434783 53142 indexscan uncached 2 2001 1050 1517.41 24.913000
hash xeon 1686928481 10000000 random 1000 10000 patched 32 434783 53142 indexscan cached 2 2001 1050 1517.41 10.550000
hash xeon 1686928482 10000000 random 1000 10000 patched 32 434783 53142 bitmapscan uncached 2 2415 946 1496.39 25.837000
hash xeon 1686928482 10000000 random 1000 10000 patched 32 434783 53142 bitmapscan cached 2 2415 946 1496.39 11.409000
hash xeon 1686928482 10000000 random 1000 10000 patched 32 434783 53142 indexscan uncached 3 4371 1010 1517.41 26.942000
hash xeon 1686928482 10000000 random 1000 10000 patched 32 434783 53142 indexscan cached 3 4371 1010 1517.41 11.321000
hash xeon 1686928482 10000000 random 1000 10000 patched 32 434783 53142 bitmapscan uncached 3 5109 1035 1496.39 28.860000
hash xeon 1686928483 10000000 random 1000 10000 patched 32 434783 53142 bitmapscan cached 3 5109 1035 1496.39 12.094000
hash xeon 1686928483 10000000 random 1000 10000 patched 32 434783 53142 indexscan uncached 4 7486 953 1517.41 28.906000
