test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration
btree-sort xeon 1688027122 1000000 random 1000 1000 master 0 43479 889 indexscan uncached 1 69 1001 89.28 118.686000
btree-sort xeon 1688027122 1000000 random 1000 1000 master 0 43479 889 indexscan cached 1 69 1001 89.28 10.661000
btree-sort xeon 1688027122 1000000 random 1000 1000 master 0 43479 889 bitmapscan uncached 1 148 1001 108586.84 437.367000
btree-sort xeon 1688027123 1000000 random 1000 1000 master 0 43479 889 bitmapscan cached 1 148 1001 108586.84 213.031000
btree-sort xeon 1688027123 1000000 random 1000 1000 master 0 43479 889 seqscan uncached 1 120 1001 104248.07 261.210000
btree-sort xeon 1688027124 1000000 random 1000 1000 master 0 43479 889 seqscan cached 1 120 1001 104248.07 209.255000
btree-sort xeon 1688027124 1000000 random 1000 1000 master 0 43479 889 indexscan uncached 2 380 1001 124.77 116.013000
btree-sort xeon 1688027125 1000000 random 1000 1000 master 0 43479 889 indexscan cached 2 380 1001 124.77 10.261000
btree-sort xeon 1688027125 1000000 random 1000 1000 master 0 43479 889 bitmapscan uncached 2 398 1001 89357.98 404.966000
btree-sort xeon 1688027125 1000000 random 1000 1000 master 0 43479 889 bitmapscan cached 2 398 1001 89357.98 157.138000
btree-sort xeon 1688027126 1000000 random 1000 1000 master 0 43479 889 indexscan uncached 3 571 1001 170.97 118.615000
btree-sort xeon 1688027126 1000000 random 1000 1000 master 0 43479 889 indexscan cached 3 571 1001 170.97 9.730000
btree-sort xeon 1688027126 1000000 random 1000 1000 master 0 43479 889 bitmapscan uncached 3 522 1001 80026.82 386.085000
btree-sort xeon 1688027127 1000000 random 1000 1000 master 0 43479 889 bitmapscan cached 3 522 1001 80026.82 163.148000
btree-sort xeon 1688027127 1000000 random 1000 1000 master 0 43479 889 indexscan uncached 4 643 1001 200.89 117.275000
btree-sort xeon 1688027127 1000000 random 1000 1000 master 0 43479 889 indexscan cached 4 643 1001 200.89 10.158000
btree-sort xeon 1688027127 1000000 random 1000 1000 master 0 43479 889 bitmapscan uncached 4 621 1001 72584.01 374.642000
btree-sort xeon 1688027128 1000000 random 1000 1000 master 0 43479 889 bitmapscan cached 4 621 1001 72584.01 141.176000
btree-sort xeon 1688027128 1000000 random 1000 1000 master 0 43479 889 indexscan uncached 5 871 1001 510.54 118.070000
btree-sort xeon 1688027129 1000000 random 1000 1000 master 0 43479 889 indexscan cached 5 871 1001 510.54 9.935000
btree-sort xeon 1688027129 1000000 random 1000 1000 master 0 43479 889 bitmapscan uncached 5 917 1001 49408.80 325.692000
btree-sort xeon 1688027129 1000000 random 1000 1000 master 0 43479 889 bitmapscan cached 5 917 1001 49408.80 75.231000
btree-sort xeon 1688027130 1000000 random 1000 1000 master 32 43479 889 indexscan uncached 1 121 1001 93.43 117.907000
btree-sort xeon 1688027130 1000000 random 1000 1000 master 32 43479 889 indexscan cached 1 121 1001 93.43 10.193000
btree-sort xeon 1688027130 1000000 random 1000 1000 master 32 43479 889 bitmapscan uncached 1 115 1001 111125.14 562.858000
btree-sort xeon 1688027131 1000000 random 1000 1000 master 32 43479 889 bitmapscan cached 1 115 1001 111125.14 198.571000
btree-sort xeon 1688027131 1000000 random 1000 1000 master 32 43479 889 seqscan uncached 1 189 1001 100393.48 258.521000
btree-sort xeon 1688027132 1000000 random 1000 1000 master 32 43479 889 seqscan cached 1 189 1001 100393.48 203.832000
btree-sort xeon 1688027132 1000000 random 1000 1000 master 32 43479 889 indexscan uncached 2 203 1001 101.08 116.584000
btree-sort xeon 1688027132 1000000 random 1000 1000 master 32 43479 889 indexscan cached 2 203 1001 101.08 10.036000
btree-sort xeon 1688027132 1000000 random 1000 1000 master 32 43479 889 bitmapscan uncached 2 200 1001 104593.92 541.638000
btree-sort xeon 1688027133 1000000 random 1000 1000 master 32 43479 889 bitmapscan cached 2 200 1001 104593.92 208.679000
btree-sort xeon 1688027134 1000000 random 1000 1000 master 32 43479 889 indexscan uncached 3 476 1001 144.06 118.095000
btree-sort xeon 1688027134 1000000 random 1000 1000 master 32 43479 889 indexscan cached 3 476 1001 144.06 9.739000
btree-sort xeon 1688027134 1000000 random 1000 1000 master 32 43479 889 bitmapscan uncached 3 406 1001 88784.31 531.278000
btree-sort xeon 1688027135 1000000 random 1000 1000 master 32 43479 889 bitmapscan cached 3 406 1001 88784.31 189.916000
btree-sort xeon 1688027135 1000000 random 1000 1000 master 32 43479 889 indexscan uncached 4 768 1001 296.83 120.236000
btree-sort xeon 1688027135 1000000 random 1000 1000 master 32 43479 889 indexscan cached 4 768 1001 296.83 9.853000
btree-sort xeon 1688027135 1000000 random 1000 1000 master 32 43479 889 bitmapscan uncached 4 798 1001 59229.59 471.228000
btree-sort xeon 1688027136 1000000 random 1000 1000 master 32 43479 889 bitmapscan cached 4 798 1001 59229.59 106.835000
btree-sort xeon 1688027136 1000000 random 1000 1000 master 32 43479 889 indexscan uncached 5 993 1001 1394.67 116.676000
btree-sort xeon 1688027137 1000000 random 1000 1000 master 32 43479 889 indexscan cached 5 993 1001 1394.67 9.985000
btree-sort xeon 1688027137 1000000 random 1000 1000 master 32 43479 889 bitmapscan uncached 5 989 1001 13977.86 122.541000
btree-sort xeon 1688027137 1000000 random 1000 1000 master 32 43479 889 bitmapscan cached 5 989 1001 13977.86 24.286000
btree-sort xeon 1688027138 1000000 random 1000 1000 patched 0 43479 889 indexscan uncached 1 32 1001 86.53 124.343000
btree-sort xeon 1688027138 1000000 random 1000 1000 patched 0 43479 889 indexscan cached 1 32 1001 86.53 10.427000
btree-sort xeon 1688027138 1000000 random 1000 1000 patched 0 43479 889 bitmapscan uncached 1 144 1001 108976.87 433.388000
btree-sort xeon 1688027139 1000000 random 1000 1000 patched 0 43479 889 bitmapscan cached 1 144 1001 108976.87 182.337000
btree-sort xeon 1688027139 1000000 random 1000 1000 patched 0 43479 889 seqscan uncached 1 117 1001 104410.09 260.018000
btree-sort xeon 1688027140 1000000 random 1000 1000 patched 0 43479 889 seqscan cached 1 117 1001 104410.09 202.550000
btree-sort xeon 1688027140 1000000 random 1000 1000 patched 0 43479 889 indexscan uncached 2 369 1001 122.96 117.464000
btree-sort xeon 1688027140 1000000 random 1000 1000 patched 0 43479 889 indexscan cached 2 369 1001 122.96 10.182000
btree-sort xeon 1688027140 1000000 random 1000 1000 patched 0 43479 889 bitmapscan uncached 2 309 1001 96210.31 418.342000
btree-sort xeon 1688027141 1000000 random 1000 1000 patched 0 43479 889 bitmapscan cached 2 309 1001 96210.31 167.939000
btree-sort xeon 1688027141 1000000 random 1000 1000 patched 0 43479 889 indexscan uncached 3 561 1001 167.87 121.176000
btree-sort xeon 1688027142 1000000 random 1000 1000 patched 0 43479 889 indexscan cached 3 561 1001 167.87 9.590000
btree-sort xeon 1688027142 1000000 random 1000 1000 patched 0 43479 889 bitmapscan uncached 3 458 1001 84843.27 396.758000
btree-sort xeon 1688027143 1000000 random 1000 1000 patched 0 43479 889 bitmapscan cached 3 458 1001 84843.27 150.920000
btree-sort xeon 1688027143 1000000 random 1000 1000 patched 0 43479 889 indexscan uncached 4 671 1001 216.58 116.274000
btree-sort xeon 1688027143 1000000 random 1000 1000 patched 0 43479 889 indexscan cached 4 671 1001 216.58 9.554000
btree-sort xeon 1688027143 1000000 random 1000 1000 patched 0 43479 889 bitmapscan uncached 4 761 1001 61964.21 353.440000
btree-sort xeon 1688027144 1000000 random 1000 1000 patched 0 43479 889 bitmapscan cached 4 761 1001 61964.21 105.634000
btree-sort xeon 1688027144 1000000 random 1000 1000 patched 0 43479 889 indexscan uncached 5 868 1001 498.68 121.173000
btree-sort xeon 1688027144 1000000 random 1000 1000 patched 0 43479 889 indexscan cached 5 868 1001 498.68 10.081000
btree-sort xeon 1688027144 1000000 random 1000 1000 patched 0 43479 889 bitmapscan uncached 5 825 1001 57072.31 344.983000
btree-sort xeon 1688027145 1000000 random 1000 1000 patched 0 43479 889 bitmapscan cached 5 825 1001 57072.31 102.402000
btree-sort xeon 1688027145 1000000 random 1000 1000 patched 32 43479 889 indexscan uncached 1 83 1001 90.37 25.945000
btree-sort xeon 1688027146 1000000 random 1000 1000 patched 32 43479 889 indexscan cached 1 83 1001 90.37 9.876000
btree-sort xeon 1688027146 1000000 random 1000 1000 patched 32 43479 889 bitmapscan uncached 1 166 1001 107143.55 552.920000
btree-sort xeon 1688027147 1000000 random 1000 1000 patched 32 43479 889 bitmapscan cached 1 166 1001 107143.55 188.153000
btree-sort xeon 1688027147 1000000 random 1000 1000 patched 32 43479 889 seqscan uncached 1 186 1001 100573.49 261.512000
btree-sort xeon 1688027147 1000000 random 1000 1000 patched 32 43479 889 seqscan cached 1 186 1001 100573.49 201.944000
btree-sort xeon 1688027148 1000000 random 1000 1000 patched 32 43479 889 indexscan uncached 2 227 1001 103.44 23.721000
btree-sort xeon 1688027148 1000000 random 1000 1000 patched 32 43479 889 indexscan cached 2 227 1001 103.44 9.954000
btree-sort xeon 1688027148 1000000 random 1000 1000 patched 32 43479 889 bitmapscan uncached 2 393 1001 89735.17 525.183000
btree-sort xeon 1688027149 1000000 random 1000 1000 patched 32 43479 889 bitmapscan cached 2 393 1001 89735.17 195.309000
btree-sort xeon 1688027149 1000000 random 1000 1000 patched 32 43479 889 indexscan uncached 3 507 1001 151.54 24.100000
btree-sort xeon 1688027149 1000000 random 1000 1000 patched 32 43479 889 indexscan cached 3 507 1001 151.54 9.524000
btree-sort xeon 1688027149 1000000 random 1000 1000 patched 32 43479 889 bitmapscan uncached 3 429 1001 87049.80 524.541000
btree-sort xeon 1688027150 1000000 random 1000 1000 patched 32 43479 889 bitmapscan cached 3 429 1001 87049.80 188.117000
