test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration
btree-sort xeon 1688041820 100000000 random 1000 100000 master 0 4347827 88477 indexscan uncached 1 2055 1001 1342.62 123.335000
btree-sort xeon 1688041824 100000000 random 1000 100000 master 0 4347827 88477 indexscan cached 1 2055 1001 1342.62 10.341000
btree-sort xeon 1688041824 100000000 random 1000 100000 master 0 4347827 88477 bitmapscan uncached 1 6297 1001 11577046.56 34028.926000
btree-sort xeon 1688041858 100000000 random 1000 100000 master 0 4347827 88477 bitmapscan cached 1 6297 1001 11577046.56 32956.475000
btree-sort xeon 1688041891 100000000 random 1000 100000 master 0 4347827 88477 seqscan uncached 1 7443 1001 10671229.95 22399.592000
btree-sort xeon 1688041916 100000000 random 1000 100000 master 0 4347827 88477 seqscan cached 1 7443 1001 10671229.95 19244.588000
btree-sort xeon 1688041935 100000000 random 1000 100000 master 0 4347827 88477 indexscan uncached 2 27632 1001 1342.79 144.238000
btree-sort xeon 1688041938 100000000 random 1000 100000 master 0 4347827 88477 indexscan cached 2 27632 1001 1342.79 9.555000
btree-sort xeon 1688041938 100000000 random 1000 100000 master 0 4347827 88477 bitmapscan uncached 2 21332 1001 10587311.26 32426.515000
btree-sort xeon 1688041971 100000000 random 1000 100000 master 0 4347827 88477 bitmapscan cached 2 21332 1001 10587311.26 31113.959000
btree-sort xeon 1688042002 100000000 random 1000 100000 master 0 4347827 88477 indexscan uncached 3 57061 1001 1343.25 145.070000
btree-sort xeon 1688042004 100000000 random 1000 100000 master 0 4347827 88477 indexscan cached 3 57061 1001 1343.25 9.974000
btree-sort xeon 1688042004 100000000 random 1000 100000 master 0 4347827 88477 bitmapscan uncached 3 53873 1001 8462780.73 30821.717000
btree-sort xeon 1688042035 100000000 random 1000 100000 master 0 4347827 88477 bitmapscan cached 3 53873 1001 8462780.73 28997.368000
btree-sort xeon 1688042064 100000000 random 1000 100000 master 0 4347827 88477 indexscan uncached 4 69752 1001 1343.72 144.415000
btree-sort xeon 1688042067 100000000 random 1000 100000 master 0 4347827 88477 indexscan cached 4 69752 1001 1343.72 10.332000
btree-sort xeon 1688042067 100000000 random 1000 100000 master 0 4347827 88477 bitmapscan uncached 4 66888 1001 7620534.02 29645.161000
btree-sort xeon 1688042097 100000000 random 1000 100000 master 0 4347827 88477 bitmapscan cached 4 66888 1001 7620534.02 27944.594000
btree-sort xeon 1688042125 100000000 random 1000 100000 master 0 4347827 88477 indexscan uncached 5 98630 1001 1378.12 146.339000
btree-sort xeon 1688042127 100000000 random 1000 100000 master 0 4347827 88477 indexscan cached 5 98630 1001 1378.12 10.119000
btree-sort xeon 1688042127 100000000 random 1000 100000 master 0 4347827 88477 bitmapscan uncached 5 92708 1001 5596024.92 27206.583000
btree-sort xeon 1688042155 100000000 random 1000 100000 master 0 4347827 88477 bitmapscan cached 5 92708 1001 5596024.92 20946.959000
btree-sort xeon 1688042176 100000000 random 1000 100000 master 32 4347827 88477 indexscan uncached 1 6774 1001 1342.64 142.291000
btree-sort xeon 1688042178 100000000 random 1000 100000 master 32 4347827 88477 indexscan cached 1 6774 1001 1342.64 9.355000
btree-sort xeon 1688042178 100000000 random 1000 100000 master 32 4347827 88477 bitmapscan uncached 1 8781 1001 11411159.70 47488.209000
btree-sort xeon 1688042226 100000000 random 1000 100000 master 32 4347827 88477 bitmapscan cached 1 8781 1001 11411159.70 34278.228000
btree-sort xeon 1688042260 100000000 random 1000 100000 master 32 4347827 88477 seqscan uncached 1 14496 1001 10287947.72 22467.081000
btree-sort xeon 1688042285 100000000 random 1000 100000 master 32 4347827 88477 seqscan cached 1 14496 1001 10287947.72 19043.816000
btree-sort xeon 1688042304 100000000 random 1000 100000 master 32 4347827 88477 indexscan uncached 2 30725 1001 1342.82 145.153000
btree-sort xeon 1688042307 100000000 random 1000 100000 master 32 4347827 88477 indexscan cached 2 30725 1001 1342.82 10.132000
btree-sort xeon 1688042307 100000000 random 1000 100000 master 32 4347827 88477 bitmapscan uncached 2 29235 1001 10073586.69 46933.037000
btree-sort xeon 1688042354 100000000 random 1000 100000 master 32 4347827 88477 bitmapscan cached 2 29235 1001 10073586.69 33584.853000
btree-sort xeon 1688042387 100000000 random 1000 100000 master 32 4347827 88477 indexscan uncached 3 57273 1001 1343.26 145.442000
