test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration best_plan correct_plan
btree i5 1700766245 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan uncached 1 1121 1029 25.88 181.939000 1 1
btree i5 1700766246 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan cached-os 1 1121 1029 25.88 14.552000 1 1
btree i5 1700766246 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan cached 1 1121 1029 25.88 9.111000 1 1
btree i5 1700766253 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean uncached 1 792 1011 21.95 13.666000 1 1
btree i5 1700766254 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean cached-os 1 792 1011 21.95 8.087000 1 1
btree i5 1700766254 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean cached 1 792 1011 21.95 7.801000 1 1
btree i5 1700766254 10000000 random 1000 10000 1-master 0 434783 8852 indexscan uncached 1 480 980 4021.95 176.617000 0 1
btree i5 1700766254 10000000 random 1000 10000 1-master 0 434783 8852 indexscan cached-os 1 480 980 4021.95 14.681000 0 1
btree i5 1700766255 10000000 random 1000 10000 1-master 0 434783 8852 indexscan cached 1 480 980 4021.95 9.167000 0 1
btree i5 1700766255 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan uncached 1 1060 1023 3880.83 183.711000 1 1
btree i5 1700766255 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan cached-os 1 1060 1023 3880.83 15.240000 1 1
btree i5 1700766255 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan cached 1 1060 1023 3880.83 9.538000 1 1
btree i5 1700766255 10000000 random 1000 10000 1-master 0 434783 8852 seqscan uncached 1 379 1034 559783.11 3177.195000 0 1
btree i5 1700766259 10000000 random 1000 10000 1-master 0 434783 8852 seqscan cached-os 1 379 1034 559783.11 1341.965000 0 1
btree i5 1700766260 10000000 random 1000 10000 1-master 0 434783 8852 seqscan cached 1 379 1034 559783.11 1192.557000 0 1
btree i5 1700766263 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan uncached 2 3253 999 21.95 181.409000 1 1
btree i5 1700766264 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan cached-os 2 3253 999 21.95 14.625000 1 1
btree i5 1700766264 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan cached 2 3253 999 21.95 8.939000 1 1
btree i5 1700766271 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean uncached 2 3680 1023 21.93 13.930000 1 1
btree i5 1700766271 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean cached-os 2 3680 1023 21.93 8.056000 1 1
btree i5 1700766272 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean cached 2 3680 1023 21.93 7.984000 1 1
btree i5 1700766272 10000000 random 1000 10000 1-master 0 434783 8852 indexscan uncached 2 3172 1022 4017.91 183.486000 0 1
btree i5 1700766272 10000000 random 1000 10000 1-master 0 434783 8852 indexscan cached-os 2 3172 1022 4017.91 14.706000 0 1
btree i5 1700766272 10000000 random 1000 10000 1-master 0 434783 8852 indexscan cached 2 3172 1022 4017.91 9.522000 0 1
btree i5 1700766272 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan uncached 2 3144 963 3877.03 172.191000 1 1
btree i5 1700766273 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan cached-os 2 3144 963 3877.03 15.008000 1 1
btree i5 1700766273 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan cached 2 3144 963 3877.03 9.574000 1 1
btree i5 1700766273 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan uncached 3 4050 913 21.93 165.746000 1 1
btree i5 1700766274 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan cached-os 3 4050 913 21.93 13.907000 1 1
btree i5 1700766274 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan cached 3 4050 913 21.93 8.714000 1 1
btree i5 1700766281 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean uncached 3 5314 1002 21.85 13.536000 1 1
btree i5 1700766282 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean cached-os 3 5314 1002 21.85 8.255000 1 1
btree i5 1700766282 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean cached 3 5314 1002 21.85 8.043000 1 1
btree i5 1700766282 10000000 random 1000 10000 1-master 0 434783 8852 indexscan uncached 3 4522 1012 3997.70 180.071000 0 1
btree i5 1700766283 10000000 random 1000 10000 1-master 0 434783 8852 indexscan cached-os 3 4522 1012 3997.70 14.848000 0 1
btree i5 1700766283 10000000 random 1000 10000 1-master 0 434783 8852 indexscan cached 3 4522 1012 3997.70 9.538000 0 1
btree i5 1700766283 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan uncached 3 4155 1042 3858.00 187.666000 1 1
btree i5 1700766283 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan cached-os 3 4155 1042 3858.00 15.576000 1 1
btree i5 1700766284 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan cached 3 4155 1042 3858.00 9.370000 1 1
btree i5 1700766284 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan uncached 4 6439 983 21.85 175.251000 1 1
btree i5 1700766284 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan cached-os 4 6439 983 21.85 14.416000 1 1
btree i5 1700766284 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan cached 4 6439 983 21.85 8.851000 1 1
btree i5 1700766292 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean uncached 4 6555 975 21.90 14.911000 1 1
btree i5 1700766292 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean cached-os 4 6555 975 21.90 8.090000 1 1
btree i5 1700766292 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean cached 4 6555 975 21.90 7.898000 1 1
btree i5 1700766292 10000000 random 1000 10000 1-master 0 434783 8852 indexscan uncached 4 7574 1033 4009.76 189.137000 0 1
btree i5 1700766293 10000000 random 1000 10000 1-master 0 434783 8852 indexscan cached-os 4 7574 1033 4009.76 17.715000 0 1
btree i5 1700766293 10000000 random 1000 10000 1-master 0 434783 8852 indexscan cached 4 7574 1033 4009.76 9.097000 0 1
btree i5 1700766293 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan uncached 4 6224 999 3869.42 177.956000 1 1
btree i5 1700766294 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan cached-os 4 6224 999 3869.42 15.234000 1 1
btree i5 1700766294 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan cached 4 6224 999 3869.42 9.532000 1 1
btree i5 1700766294 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan uncached 5 8954 993 21.90 176.460000 1 1
btree i5 1700766294 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan cached-os 5 8954 993 21.90 14.152000 1 1
btree i5 1700766295 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan cached 5 8954 993 21.90 9.078000 1 1
btree i5 1700766302 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean uncached 5 9565 1039 21.90 13.877000 1 1
btree i5 1700766303 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean cached-os 5 9565 1039 21.90 8.083000 1 1
btree i5 1700766303 10000000 random 1000 10000 1-master 0 434783 8852 indexonlyscan-clean cached 5 9565 1039 21.90 8.241000 1 1
btree i5 1700766303 10000000 random 1000 10000 1-master 0 434783 8852 indexscan uncached 5 9316 1062 4009.89 197.357000 0 1
btree i5 1700766303 10000000 random 1000 10000 1-master 0 434783 8852 indexscan cached-os 5 9316 1062 4009.89 15.167000 0 1
btree i5 1700766304 10000000 random 1000 10000 1-master 0 434783 8852 indexscan cached 5 9316 1062 4009.89 9.145000 0 1
btree i5 1700766304 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan uncached 5 8254 957 3869.42 175.803000 1 1
btree i5 1700766304 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan cached-os 5 8254 957 3869.42 14.638000 1 1
btree i5 1700766304 10000000 random 1000 10000 1-master 0 434783 8852 bitmapscan cached 5 8254 957 3869.42 10.809000 1 1
btree i5 1700766305 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan uncached 1 131 996 21.90 182.187000 1 1
btree i5 1700766305 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan cached-os 1 131 996 21.90 14.452000 1 1
btree i5 1700766305 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan cached 1 131 996 21.90 8.858000 1 1
btree i5 1700766313 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean uncached 1 1184 1018 21.83 15.616000 1 1
btree i5 1700766314 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean cached-os 1 1184 1018 21.83 8.146000 1 1
btree i5 1700766314 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean cached 1 1184 1018 21.83 7.925000 1 1
btree i5 1700766314 10000000 random 1000 10000 1-master 32 434783 8852 indexscan uncached 1 1142 972 3993.38 181.453000 0 1
btree i5 1700766315 10000000 random 1000 10000 1-master 32 434783 8852 indexscan cached-os 1 1142 972 3993.38 14.708000 0 1
btree i5 1700766315 10000000 random 1000 10000 1-master 32 434783 8852 indexscan cached 1 1142 972 3993.38 9.023000 0 1
btree i5 1700766315 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan uncached 1 1361 1008 3854.20 34.164000 1 1
btree i5 1700766315 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan cached-os 1 1361 1008 3854.20 15.932000 1 1
btree i5 1700766316 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan cached 1 1361 1008 3854.20 9.421000 1 1
btree i5 1700766316 10000000 random 1000 10000 1-master 32 434783 8852 seqscan uncached 1 520 971 559783.11 3193.818000 0 1
btree i5 1700766319 10000000 random 1000 10000 1-master 32 434783 8852 seqscan cached-os 1 520 971 559783.11 1327.403000 0 1
btree i5 1700766321 10000000 random 1000 10000 1-master 32 434783 8852 seqscan cached 1 520 971 559783.11 1181.100000 0 1
btree i5 1700766323 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan uncached 2 3183 978 21.83 174.534000 1 1
btree i5 1700766324 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan cached-os 2 3183 978 21.83 14.130000 1 1
btree i5 1700766324 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan cached 2 3183 978 21.83 9.031000 1 1
btree i5 1700766331 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean uncached 2 3728 1038 21.86 15.832000 1 1
btree i5 1700766332 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean cached-os 2 3728 1038 21.86 7.902000 1 1
btree i5 1700766332 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean cached 2 3728 1038 21.86 9.413000 1 1
btree i5 1700766332 10000000 random 1000 10000 1-master 32 434783 8852 indexscan uncached 2 2377 1013 4001.86 184.231000 0 1
btree i5 1700766333 10000000 random 1000 10000 1-master 32 434783 8852 indexscan cached-os 2 2377 1013 4001.86 14.706000 0 1
btree i5 1700766333 10000000 random 1000 10000 1-master 32 434783 8852 indexscan cached 2 2377 1013 4001.86 8.900000 0 1
btree i5 1700766333 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan uncached 2 3798 1047 3861.81 35.595000 1 1
btree i5 1700766333 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan cached-os 2 3798 1047 3861.81 15.988000 1 1
btree i5 1700766334 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan cached 2 3798 1047 3861.81 9.512000 1 1
btree i5 1700766334 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan uncached 3 5961 982 21.86 175.100000 1 1
btree i5 1700766334 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan cached-os 3 5961 982 21.86 14.353000 1 1
btree i5 1700766334 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan cached 3 5961 982 21.86 8.500000 1 1
btree i5 1700766342 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean uncached 3 4031 996 21.88 14.443000 1 1
btree i5 1700766343 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean cached-os 3 4031 996 21.88 8.012000 1 1
btree i5 1700766343 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean cached 3 4031 996 21.88 7.989000 1 1
btree i5 1700766343 10000000 random 1000 10000 1-master 32 434783 8852 indexscan uncached 3 4517 993 4005.82 177.868000 0 1
btree i5 1700766343 10000000 random 1000 10000 1-master 32 434783 8852 indexscan cached-os 3 4517 993 4005.82 14.709000 0 1
btree i5 1700766344 10000000 random 1000 10000 1-master 32 434783 8852 indexscan cached 3 4517 993 4005.82 9.112000 0 1
btree i5 1700766344 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan uncached 3 4691 1028 3865.61 32.692000 1 1
btree i5 1700766344 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan cached-os 3 4691 1028 3865.61 15.845000 1 1
btree i5 1700766344 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan cached 3 4691 1028 3865.61 9.614000 1 1
btree i5 1700766344 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan uncached 4 7087 1046 21.88 187.268000 1 1
btree i5 1700766345 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan cached-os 4 7087 1046 21.88 14.614000 1 1
btree i5 1700766345 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan cached 4 7087 1046 21.88 8.820000 1 1
btree i5 1700766352 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean uncached 4 7508 1036 21.79 16.175000 1 1
btree i5 1700766353 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean cached-os 4 7508 1036 21.79 8.045000 1 1
btree i5 1700766353 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean cached 4 7508 1036 21.79 7.718000 1 1
btree i5 1700766353 10000000 random 1000 10000 1-master 32 434783 8852 indexscan uncached 4 7445 1037 3985.78 188.804000 0 1
btree i5 1700766354 10000000 random 1000 10000 1-master 32 434783 8852 indexscan cached-os 4 7445 1037 3985.78 14.744000 0 1
btree i5 1700766354 10000000 random 1000 10000 1-master 32 434783 8852 indexscan cached 4 7445 1037 3985.78 9.062000 0 1
btree i5 1700766354 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan uncached 4 7691 965 3846.59 30.853000 1 1
btree i5 1700766354 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan cached-os 4 7691 965 3846.59 15.433000 1 1
btree i5 1700766354 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan cached 4 7691 965 3846.59 9.751000 1 1
btree i5 1700766354 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan uncached 5 8133 1011 21.79 178.878000 1 1
btree i5 1700766355 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan cached-os 5 8133 1011 21.79 14.296000 1 1
btree i5 1700766355 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan cached 5 8133 1011 21.79 9.198000 1 1
btree i5 1700766362 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean uncached 5 8354 1036 21.90 16.577000 1 1
btree i5 1700766363 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean cached-os 5 8354 1036 21.90 8.037000 1 1
btree i5 1700766363 10000000 random 1000 10000 1-master 32 434783 8852 indexonlyscan-clean cached 5 8354 1036 21.90 8.113000 1 1
btree i5 1700766363 10000000 random 1000 10000 1-master 32 434783 8852 indexscan uncached 5 8683 1005 4009.89 181.060000 0 1
btree i5 1700766364 10000000 random 1000 10000 1-master 32 434783 8852 indexscan cached-os 5 8683 1005 4009.89 14.686000 0 1
btree i5 1700766364 10000000 random 1000 10000 1-master 32 434783 8852 indexscan cached 5 8683 1005 4009.89 9.128000 0 1
btree i5 1700766364 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan uncached 5 9620 958 3869.42 31.111000 1 1
btree i5 1700766364 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan cached-os 5 9620 958 3869.42 15.472000 1 1
btree i5 1700766365 10000000 random 1000 10000 1-master 32 434783 8852 bitmapscan cached 5 9620 958 3869.42 9.517000 1 1
btree i5 1700766365 10000000 random 1000 10000 1-master 8 434783 8852 indexonlyscan uncached 1 1535 989 21.90 175.194000 1 1
btree i5 1700766365 10000000 random 1000 10000 1-master 8 434783 8852 indexonlyscan cached-os 1 1535 989 21.90 14.063000 1 1
btree i5 1700766366 10000000 random 1000 10000 1-master 8 434783 8852 indexonlyscan cached 1 1535 989 21.90 10.176000 1 1
btree i5 1700766373 10000000 random 1000 10000 1-master 8 434783 8852 indexonlyscan-clean uncached 1 770 945 21.88 13.101000 1 1
btree i5 1700766374 10000000 random 1000 10000 1-master 8 434783 8852 indexonlyscan-clean cached-os 1 770 945 21.88 7.822000 1 1
btree i5 1700766374 10000000 random 1000 10000 1-master 8 434783 8852 indexonlyscan-clean cached 1 770 945 21.88 7.845000 1 1
btree i5 1700766374 10000000 random 1000 10000 1-master 8 434783 8852 indexscan uncached 1 1607 983 4005.88 176.969000 0 1
btree i5 1700766374 10000000 random 1000 10000 1-master 8 434783 8852 indexscan cached-os 1 1607 983 4005.88 14.497000 0 1
btree i5 1700766375 10000000 random 1000 10000 1-master 8 434783 8852 indexscan cached 1 1607 983 4005.88 8.711000 0 1
btree i5 1700766375 10000000 random 1000 10000 1-master 8 434783 8852 bitmapscan uncached 1 702 1000 3865.61 39.882000 1 1
btree i5 1700766375 10000000 random 1000 10000 1-master 8 434783 8852 bitmapscan cached-os 1 702 1000 3865.61 15.810000 1 1
btree i5 1700766375 10000000 random 1000 10000 1-master 8 434783 8852 bitmapscan cached 1 702 1000 3865.61 9.475000 1 1
btree i5 1700766375 10000000 random 1000 10000 1-master 8 434783 8852 seqscan uncached 1 190 959 559783.11 3247.799000 0 1
btree i5 1700766379 10000000 random 1000 10000 1-master 8 434783 8852 seqscan cached-os 1 190 959 559783.11 1335.750000 0 1
btree i5 1700766380 10000000 random 1000 10000 1-master 8 434783 8852 seqscan cached 1 190 959 559783.11 1245.969000 0 1
btree i5 1700766383 10000000 random 1000 10000 1-master 8 434783 8852 indexonlyscan uncached 2 3450 1007 21.88 180.509000 1 1
btree i5 1700766384 10000000 random 1000 10000 1-master 8 434783 8852 indexonlyscan cached-os 2 3450 1007 21.88 14.947000 1 1
btree i5 1700766384 10000000 random 1000 10000 1-master 8 434783 8852 indexonlyscan cached 2 3450 1007 21.88 8.703000 1 1
btree i5 1700766391 10000000 random 1000 10000 1-master 8 434783 8852 indexonlyscan-clean uncached 2 2011 1044 21.92 14.094000 1 1
btree i5 1700766392 10000000 random 1000 10000 1-master 8 434783 8852 indexonlyscan-clean cached-os 2 2011 1044 21.92 8.181000 1 1
