test machine time rows dataset matches distinct build prefetch table_size index_size scan caching run value nfound cost duration best_plan correct_plan
hash i5 1700796875 10000000 random 1000 10000 1-master 0 434783 53130 indexscan uncached 1 1329 1060 4033.48 208.178000 0 1
hash i5 1700796876 10000000 random 1000 10000 1-master 0 434783 53130 indexscan cached-os 1 1329 1060 4033.48 14.829000 0 1
hash i5 1700796876 10000000 random 1000 10000 1-master 0 434783 53130 indexscan cached 1 1329 1060 4033.48 9.007000 0 1
hash i5 1700796876 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan uncached 1 1049 1054 3892.79 200.239000 1 1
hash i5 1700796877 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan cached-os 1 1049 1054 3892.79 15.698000 1 1
hash i5 1700796877 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan cached 1 1049 1054 3892.79 9.087000 1 1
hash i5 1700796877 10000000 random 1000 10000 1-master 0 434783 53130 seqscan uncached 1 750 981 559783.11 3568.557000 0 1
hash i5 1700796881 10000000 random 1000 10000 1-master 0 434783 53130 seqscan cached-os 1 750 981 559783.11 1353.748000 0 1
hash i5 1700796882 10000000 random 1000 10000 1-master 0 434783 53130 seqscan cached 1 750 981 559783.11 1185.683000 0 1
hash i5 1700796884 10000000 random 1000 10000 1-master 0 434783 53130 indexscan uncached 2 3605 1013 4033.48 193.864000 0 1
hash i5 1700796884 10000000 random 1000 10000 1-master 0 434783 53130 indexscan cached-os 2 3605 1013 4033.48 14.979000 0 1
hash i5 1700796885 10000000 random 1000 10000 1-master 0 434783 53130 indexscan cached 2 3605 1013 4033.48 9.035000 0 1
hash i5 1700796885 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan uncached 2 2203 968 3892.79 187.818000 1 1
hash i5 1700796885 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan cached-os 2 2203 968 3892.79 14.592000 1 1
hash i5 1700796885 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan cached 2 2203 968 3892.79 9.166000 1 1
hash i5 1700796885 10000000 random 1000 10000 1-master 0 434783 53130 indexscan uncached 3 4281 953 4033.48 185.416000 0 1
hash i5 1700796886 10000000 random 1000 10000 1-master 0 434783 53130 indexscan cached-os 3 4281 953 4033.48 14.830000 0 1
hash i5 1700796886 10000000 random 1000 10000 1-master 0 434783 53130 indexscan cached 3 4281 953 4033.48 8.809000 0 1
hash i5 1700796886 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan uncached 3 4860 1036 3892.79 188.507000 1 1
hash i5 1700796887 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan cached-os 3 4860 1036 3892.79 15.120000 1 1
hash i5 1700796887 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan cached 3 4860 1036 3892.79 9.478000 1 1
hash i5 1700796887 10000000 random 1000 10000 1-master 0 434783 53130 indexscan uncached 4 7165 945 4033.48 173.584000 0 1
hash i5 1700796887 10000000 random 1000 10000 1-master 0 434783 53130 indexscan cached-os 4 7165 945 4033.48 14.376000 0 1
hash i5 1700796888 10000000 random 1000 10000 1-master 0 434783 53130 indexscan cached 4 7165 945 4033.48 8.618000 0 1
hash i5 1700796888 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan uncached 4 6620 1017 3892.79 189.066000 1 1
hash i5 1700796888 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan cached-os 4 6620 1017 3892.79 15.079000 1 1
hash i5 1700796888 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan cached 4 6620 1017 3892.79 9.473000 1 1
hash i5 1700796888 10000000 random 1000 10000 1-master 0 434783 53130 indexscan uncached 5 8261 1014 4033.48 186.397000 0 1
hash i5 1700796889 10000000 random 1000 10000 1-master 0 434783 53130 indexscan cached-os 5 8261 1014 4033.48 14.806000 0 1
hash i5 1700796889 10000000 random 1000 10000 1-master 0 434783 53130 indexscan cached 5 8261 1014 4033.48 8.928000 0 1
hash i5 1700796889 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan uncached 5 8824 1020 3892.79 188.002000 1 1
hash i5 1700796890 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan cached-os 5 8824 1020 3892.79 15.112000 1 1
hash i5 1700796890 10000000 random 1000 10000 1-master 0 434783 53130 bitmapscan cached 5 8824 1020 3892.79 9.456000 1 1
hash i5 1700796890 10000000 random 1000 10000 1-master 32 434783 53130 indexscan uncached 1 1515 1009 4033.48 187.259000 0 1
hash i5 1700796891 10000000 random 1000 10000 1-master 32 434783 53130 indexscan cached-os 1 1515 1009 4033.48 14.642000 0 1
hash i5 1700796891 10000000 random 1000 10000 1-master 32 434783 53130 indexscan cached 1 1515 1009 4033.48 8.960000 0 1
hash i5 1700796891 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan uncached 1 367 1016 3892.79 32.478000 1 1
hash i5 1700796891 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan cached-os 1 367 1016 3892.79 15.876000 1 1
hash i5 1700796892 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan cached 1 367 1016 3892.79 9.640000 1 1
hash i5 1700796892 10000000 random 1000 10000 1-master 32 434783 53130 seqscan uncached 1 52 1000 559783.11 3345.276000 0 1
hash i5 1700796895 10000000 random 1000 10000 1-master 32 434783 53130 seqscan cached-os 1 52 1000 559783.11 1337.260000 0 1
hash i5 1700796897 10000000 random 1000 10000 1-master 32 434783 53130 seqscan cached 1 52 1000 559783.11 1188.358000 0 1
hash i5 1700796898 10000000 random 1000 10000 1-master 32 434783 53130 indexscan uncached 2 2460 975 4033.48 177.733000 0 1
hash i5 1700796899 10000000 random 1000 10000 1-master 32 434783 53130 indexscan cached-os 2 2460 975 4033.48 14.306000 0 1
hash i5 1700796899 10000000 random 1000 10000 1-master 32 434783 53130 indexscan cached 2 2460 975 4033.48 9.127000 0 1
hash i5 1700796899 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan uncached 2 3924 1039 3892.79 33.231000 1 1
hash i5 1700796899 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan cached-os 2 3924 1039 3892.79 16.063000 1 1
hash i5 1700796900 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan cached 2 3924 1039 3892.79 9.504000 1 1
hash i5 1700796900 10000000 random 1000 10000 1-master 32 434783 53130 indexscan uncached 3 5568 980 4033.48 178.397000 0 1
hash i5 1700796900 10000000 random 1000 10000 1-master 32 434783 53130 indexscan cached-os 3 5568 980 4033.48 14.337000 0 1
hash i5 1700796900 10000000 random 1000 10000 1-master 32 434783 53130 indexscan cached 3 5568 980 4033.48 8.738000 0 1
hash i5 1700796900 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan uncached 3 5064 1011 3892.79 41.641000 1 1
hash i5 1700796901 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan cached-os 3 5064 1011 3892.79 15.830000 1 1
hash i5 1700796901 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan cached 3 5064 1011 3892.79 9.177000 1 1
hash i5 1700796901 10000000 random 1000 10000 1-master 32 434783 53130 indexscan uncached 4 7070 983 4033.48 183.499000 0 1
hash i5 1700796901 10000000 random 1000 10000 1-master 32 434783 53130 indexscan cached-os 4 7070 983 4033.48 14.645000 0 1
hash i5 1700796902 10000000 random 1000 10000 1-master 32 434783 53130 indexscan cached 4 7070 983 4033.48 8.748000 0 1
hash i5 1700796902 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan uncached 4 6036 1012 3892.79 33.305000 1 1
hash i5 1700796902 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan cached-os 4 6036 1012 3892.79 16.103000 1 1
hash i5 1700796902 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan cached 4 6036 1012 3892.79 9.324000 1 1
hash i5 1700796902 10000000 random 1000 10000 1-master 32 434783 53130 indexscan uncached 5 9643 1009 4033.48 182.668000 0 1
hash i5 1700796903 10000000 random 1000 10000 1-master 32 434783 53130 indexscan cached-os 5 9643 1009 4033.48 14.857000 0 1
hash i5 1700796903 10000000 random 1000 10000 1-master 32 434783 53130 indexscan cached 5 9643 1009 4033.48 9.046000 0 1
hash i5 1700796903 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan uncached 5 8831 973 3892.79 33.071000 1 1
hash i5 1700796903 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan cached-os 5 8831 973 3892.79 15.925000 1 1
hash i5 1700796904 10000000 random 1000 10000 1-master 32 434783 53130 bitmapscan cached 5 8831 973 3892.79 9.444000 1 1
hash i5 1700796904 10000000 random 1000 10000 1-master 8 434783 53130 indexscan uncached 1 916 994 4033.48 188.606000 0 1
hash i5 1700796904 10000000 random 1000 10000 1-master 8 434783 53130 indexscan cached-os 1 916 994 4033.48 14.778000 0 1
hash i5 1700796905 10000000 random 1000 10000 1-master 8 434783 53130 indexscan cached 1 916 994 4033.48 8.880000 0 1
hash i5 1700796905 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan uncached 1 1985 992 3892.79 45.248000 1 1
hash i5 1700796905 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan cached-os 1 1985 992 3892.79 16.143000 1 1
hash i5 1700796905 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan cached 1 1985 992 3892.79 9.416000 1 1
hash i5 1700796905 10000000 random 1000 10000 1-master 8 434783 53130 seqscan uncached 1 134 1002 559783.11 3219.767000 0 1
hash i5 1700796909 10000000 random 1000 10000 1-master 8 434783 53130 seqscan cached-os 1 134 1002 559783.11 1326.396000 0 1
hash i5 1700796910 10000000 random 1000 10000 1-master 8 434783 53130 seqscan cached 1 134 1002 559783.11 1187.005000 0 1
hash i5 1700796912 10000000 random 1000 10000 1-master 8 434783 53130 indexscan uncached 2 2966 1022 4033.48 184.323000 0 1
hash i5 1700796912 10000000 random 1000 10000 1-master 8 434783 53130 indexscan cached-os 2 2966 1022 4033.48 14.660000 0 1
hash i5 1700796913 10000000 random 1000 10000 1-master 8 434783 53130 indexscan cached 2 2966 1022 4033.48 8.707000 0 1
hash i5 1700796913 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan uncached 2 2755 1030 3892.79 39.255000 1 1
hash i5 1700796913 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan cached-os 2 2755 1030 3892.79 15.948000 1 1
hash i5 1700796913 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan cached 2 2755 1030 3892.79 9.568000 1 1
hash i5 1700796913 10000000 random 1000 10000 1-master 8 434783 53130 indexscan uncached 3 5033 1009 4033.48 180.742000 0 1
hash i5 1700796914 10000000 random 1000 10000 1-master 8 434783 53130 indexscan cached-os 3 5033 1009 4033.48 14.786000 0 1
hash i5 1700796914 10000000 random 1000 10000 1-master 8 434783 53130 indexscan cached 3 5033 1009 4033.48 8.958000 0 1
hash i5 1700796914 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan uncached 3 4686 972 3892.79 37.614000 1 1
hash i5 1700796914 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan cached-os 3 4686 972 3892.79 15.456000 1 1
hash i5 1700796915 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan cached 3 4686 972 3892.79 9.313000 1 1
hash i5 1700796915 10000000 random 1000 10000 1-master 8 434783 53130 indexscan uncached 4 7982 1033 4033.48 187.672000 0 1
hash i5 1700796915 10000000 random 1000 10000 1-master 8 434783 53130 indexscan cached-os 4 7982 1033 4033.48 14.696000 0 1
hash i5 1700796915 10000000 random 1000 10000 1-master 8 434783 53130 indexscan cached 4 7982 1033 4033.48 8.937000 0 1
hash i5 1700796915 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan uncached 4 6333 1003 3892.79 38.632000 1 1
hash i5 1700796916 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan cached-os 4 6333 1003 3892.79 15.854000 1 1
hash i5 1700796916 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan cached 4 6333 1003 3892.79 9.373000 1 1
hash i5 1700796916 10000000 random 1000 10000 1-master 8 434783 53130 indexscan uncached 5 8548 986 4033.48 177.884000 0 1
hash i5 1700796916 10000000 random 1000 10000 1-master 8 434783 53130 indexscan cached-os 5 8548 986 4033.48 14.434000 0 1
hash i5 1700796917 10000000 random 1000 10000 1-master 8 434783 53130 indexscan cached 5 8548 986 4033.48 9.032000 0 1
hash i5 1700796917 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan uncached 5 8306 1040 3892.79 41.486000 1 1
hash i5 1700796917 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan cached-os 5 8306 1040 3892.79 15.877000 1 1
hash i5 1700796917 10000000 random 1000 10000 1-master 8 434783 53130 bitmapscan cached 5 8306 1040 3892.79 9.500000 1 1
hash i5 1700796918 10000000 random 1000 10000 2-20231016 0 434783 53130 indexscan uncached 1 1484 985 4033.48 177.598000 0 1
