test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration
hash xeon 1686655259 1000000 random 1000 1000 master 0 43479 5629 indexscan uncached 1 112 949 1499.38 115.716000
hash xeon 1686655260 1000000 random 1000 1000 master 0 43479 5629 indexscan cached 1 112 949 1499.38 11.568000
hash xeon 1686655260 1000000 random 1000 1000 master 0 43479 5629 bitmapscan uncached 1 134 1010 1428.32 124.824000
hash xeon 1686655260 1000000 random 1000 1000 master 0 43479 5629 bitmapscan cached 1 134 1010 1428.32 12.711000
hash xeon 1686655260 1000000 random 1000 1000 master 0 43479 5629 seqscan uncached 1 2 1023 55978.90 248.510000
hash xeon 1686655261 1000000 random 1000 1000 master 0 43479 5629 seqscan cached 1 2 1023 55978.90 162.297000
hash xeon 1686655261 1000000 random 1000 1000 master 0 43479 5629 indexscan uncached 2 343 1005 1499.38 122.823000
hash xeon 1686655261 1000000 random 1000 1000 master 0 43479 5629 indexscan cached 2 343 1005 1499.38 11.843000
hash xeon 1686655261 1000000 random 1000 1000 master 0 43479 5629 bitmapscan uncached 2 243 991 1428.32 121.945000
hash xeon 1686655262 1000000 random 1000 1000 master 0 43479 5629 bitmapscan cached 2 243 991 1428.32 12.613000
hash xeon 1686655262 1000000 random 1000 1000 master 0 43479 5629 indexscan uncached 3 524 1011 1499.38 124.326000
hash xeon 1686655262 1000000 random 1000 1000 master 0 43479 5629 indexscan cached 3 524 1011 1499.38 12.241000
hash xeon 1686655262 1000000 random 1000 1000 master 0 43479 5629 bitmapscan uncached 3 402 1008 1428.32 125.368000
hash xeon 1686655263 1000000 random 1000 1000 master 0 43479 5629 bitmapscan cached 3 402 1008 1428.32 12.639000
hash xeon 1686655263 1000000 random 1000 1000 master 0 43479 5629 indexscan uncached 4 784 979 1499.38 118.972000
hash xeon 1686655263 1000000 random 1000 1000 master 0 43479 5629 indexscan cached 4 784 979 1499.38 12.087000
hash xeon 1686655263 1000000 random 1000 1000 master 0 43479 5629 bitmapscan uncached 4 799 998 1428.32 126.666000
hash xeon 1686655264 1000000 random 1000 1000 master 0 43479 5629 bitmapscan cached 4 799 998 1428.32 12.669000
hash xeon 1686655264 1000000 random 1000 1000 master 0 43479 5629 indexscan uncached 5 866 989 1499.38 119.882000
hash xeon 1686655264 1000000 random 1000 1000 master 0 43479 5629 indexscan cached 5 866 989 1499.38 11.933000
hash xeon 1686655264 1000000 random 1000 1000 master 0 43479 5629 bitmapscan uncached 5 817 1026 1428.32 126.378000
hash xeon 1686655265 1000000 random 1000 1000 master 0 43479 5629 bitmapscan cached 5 817 1026 1428.32 12.496000
hash xeon 1686655265 1000000 random 1000 1000 master 32 43479 5629 indexscan uncached 1 56 986 1499.38 121.143000
hash xeon 1686655265 1000000 random 1000 1000 master 32 43479 5629 indexscan cached 1 56 986 1499.38 12.122000
hash xeon 1686655265 1000000 random 1000 1000 master 32 43479 5629 bitmapscan uncached 1 134 1010 1428.32 28.992000
hash xeon 1686655266 1000000 random 1000 1000 master 32 43479 5629 bitmapscan cached 1 134 1010 1428.32 12.247000
hash xeon 1686655266 1000000 random 1000 1000 master 32 43479 5629 seqscan uncached 1 88 1012 55978.90 246.826000
hash xeon 1686655266 1000000 random 1000 1000 master 32 43479 5629 seqscan cached 1 88 1012 55978.90 167.375000
hash xeon 1686655267 1000000 random 1000 1000 master 32 43479 5629 indexscan uncached 2 295 984 1499.38 117.178000
hash xeon 1686655267 1000000 random 1000 1000 master 32 43479 5629 indexscan cached 2 295 984 1499.38 10.279000
hash xeon 1686655267 1000000 random 1000 1000 master 32 43479 5629 bitmapscan uncached 2 357 976 1428.32 25.369000
hash xeon 1686655267 1000000 random 1000 1000 master 32 43479 5629 bitmapscan cached 2 357 976 1428.32 10.767000
hash xeon 1686655267 1000000 random 1000 1000 master 32 43479 5629 indexscan uncached 3 535 1002 1499.38 120.655000
hash xeon 1686655268 1000000 random 1000 1000 master 32 43479 5629 indexscan cached 3 535 1002 1499.38 10.599000
hash xeon 1686655268 1000000 random 1000 1000 master 32 43479 5629 bitmapscan uncached 3 559 1022 1428.32 25.579000
hash xeon 1686655268 1000000 random 1000 1000 master 32 43479 5629 bitmapscan cached 3 559 1022 1428.32 10.809000
hash xeon 1686655268 1000000 random 1000 1000 master 32 43479 5629 indexscan uncached 4 638 1012 1499.38 120.119000
hash xeon 1686655269 1000000 random 1000 1000 master 32 43479 5629 indexscan cached 4 638 1012 1499.38 10.266000
hash xeon 1686655269 1000000 random 1000 1000 master 32 43479 5629 bitmapscan uncached 4 692 989 1428.32 25.800000
hash xeon 1686655269 1000000 random 1000 1000 master 32 43479 5629 bitmapscan cached 4 692 989 1428.32 10.650000
hash xeon 1686655269 1000000 random 1000 1000 master 32 43479 5629 indexscan uncached 5 958 961 1499.38 115.974000
hash xeon 1686655270 1000000 random 1000 1000 master 32 43479 5629 indexscan cached 5 958 961 1499.38 10.840000
hash xeon 1686655270 1000000 random 1000 1000 master 32 43479 5629 bitmapscan uncached 5 828 978 1428.32 26.030000
hash xeon 1686655270 1000000 random 1000 1000 master 32 43479 5629 bitmapscan cached 5 828 978 1428.32 11.330000
hash xeon 1686655271 1000000 random 1000 1000 patched 0 43479 5629 indexscan uncached 1 159 979 1499.38 118.325000
hash xeon 1686655271 1000000 random 1000 1000 patched 0 43479 5629 indexscan cached 1 159 979 1499.38 12.264000
hash xeon 1686655271 1000000 random 1000 1000 patched 0 43479 5629 bitmapscan uncached 1 23 1010 1428.32 126.317000
hash xeon 1686655271 1000000 random 1000 1000 patched 0 43479 5629 bitmapscan cached 1 23 1010 1428.32 12.978000
hash xeon 1686655271 1000000 random 1000 1000 patched 0 43479 5629 seqscan uncached 1 137 970 55978.90 247.384000
hash xeon 1686655272 1000000 random 1000 1000 patched 0 43479 5629 seqscan cached 1 137 970 55978.90 164.972000
hash xeon 1686655272 1000000 random 1000 1000 patched 0 43479 5629 indexscan uncached 2 260 1038 1499.38 124.017000
hash xeon 1686655273 1000000 random 1000 1000 patched 0 43479 5629 indexscan cached 2 260 1038 1499.38 11.162000
hash xeon 1686655273 1000000 random 1000 1000 patched 0 43479 5629 bitmapscan uncached 2 265 1027 1428.32 125.991000
hash xeon 1686655273 1000000 random 1000 1000 patched 0 43479 5629 bitmapscan cached 2 265 1027 1428.32 11.929000
hash xeon 1686655273 1000000 random 1000 1000 patched 0 43479 5629 indexscan uncached 3 435 1020 1499.38 125.823000
hash xeon 1686655274 1000000 random 1000 1000 patched 0 43479 5629 indexscan cached 3 435 1020 1499.38 12.479000
hash xeon 1686655274 1000000 random 1000 1000 patched 0 43479 5629 bitmapscan uncached 3 452 1032 1428.32 126.190000
hash xeon 1686655274 1000000 random 1000 1000 patched 0 43479 5629 bitmapscan cached 3 452 1032 1428.32 12.621000
hash xeon 1686655274 1000000 random 1000 1000 patched 0 43479 5629 indexscan uncached 4 639 984 1499.38 118.476000
hash xeon 1686655275 1000000 random 1000 1000 patched 0 43479 5629 indexscan cached 4 639 984 1499.38 11.642000
hash xeon 1686655275 1000000 random 1000 1000 patched 0 43479 5629 bitmapscan uncached 4 676 950 1428.32 117.736000
