test machine time rows dataset matches distinct build nvalues distance prefetch table_size index_size scan_type caching run value nfound cost duration
btree-saop xeon 1686653061 1000000 random 1000 1000 master 5 1 0 43479 886 indexscan uncached 1 64 4895 7144.78 528.974000
btree-saop xeon 1686653062 1000000 random 1000 1000 master 5 1 0 43479 886 indexscan cached 1 64 4895 7144.78 16.852000
btree-saop xeon 1686653062 1000000 random 1000 1000 master 5 1 0 43479 886 bitmapscan uncached 1 90 4918 6404.92 380.880000
btree-saop xeon 1686653062 1000000 random 1000 1000 master 5 1 0 43479 886 bitmapscan cached 1 90 4918 6404.92 19.075000
btree-saop xeon 1686653062 1000000 random 1000 1000 master 5 1 0 43479 886 seqscan uncached 1 55 5020 59728.87 271.673000
btree-saop xeon 1686653063 1000000 random 1000 1000 master 5 1 0 43479 886 seqscan cached 1 55 5020 59728.87 198.987000
btree-saop xeon 1686653063 1000000 random 1000 1000 master 5 1 0 43479 886 indexscan uncached 2 333 4898 7144.78 516.260000
btree-saop xeon 1686653064 1000000 random 1000 1000 master 5 1 0 43479 886 indexscan cached 2 333 4898 7144.78 15.843000
btree-saop xeon 1686653064 1000000 random 1000 1000 master 5 1 0 43479 886 bitmapscan uncached 2 212 4881 6404.92 401.374000
btree-saop xeon 1686653065 1000000 random 1000 1000 master 5 1 0 43479 886 bitmapscan cached 2 212 4881 6404.92 19.698000
btree-saop xeon 1686653065 1000000 random 1000 1000 master 5 1 0 43479 886 indexscan uncached 3 420 5021 7144.78 538.982000
btree-saop xeon 1686653066 1000000 random 1000 1000 master 5 1 0 43479 886 indexscan cached 3 420 5021 7144.78 19.543000
btree-saop xeon 1686653066 1000000 random 1000 1000 master 5 1 0 43479 886 bitmapscan uncached 3 590 4977 7054.59 404.220000
btree-saop xeon 1686653066 1000000 random 1000 1000 master 5 1 0 43479 886 bitmapscan cached 3 590 4977 7054.59 19.901000
btree-saop xeon 1686653066 1000000 random 1000 1000 master 5 1 0 43479 886 indexscan uncached 4 759 5126 7144.78 550.966000
btree-saop xeon 1686653067 1000000 random 1000 1000 master 5 1 0 43479 886 indexscan cached 4 759 5126 7144.78 18.911000
btree-saop xeon 1686653067 1000000 random 1000 1000 master 5 1 0 43479 886 bitmapscan uncached 4 771 5028 6404.92 407.559000
btree-saop xeon 1686653068 1000000 random 1000 1000 master 5 1 0 43479 886 bitmapscan cached 4 771 5028 6404.92 20.047000
btree-saop xeon 1686653068 1000000 random 1000 1000 master 5 1 0 43479 886 indexscan uncached 5 960 5044 7144.78 544.773000
btree-saop xeon 1686653069 1000000 random 1000 1000 master 5 1 0 43479 886 indexscan cached 5 960 5044 7144.78 19.953000
btree-saop xeon 1686653069 1000000 random 1000 1000 master 5 1 0 43479 886 bitmapscan uncached 5 904 4935 6404.92 396.235000
btree-saop xeon 1686653070 1000000 random 1000 1000 master 5 1 0 43479 886 bitmapscan cached 5 904 4935 6404.92 19.676000
btree-saop xeon 1686653070 1000000 random 1000 1000 master 5 1 32 43479 886 indexscan uncached 1 53 4937 7144.78 524.457000
btree-saop xeon 1686653071 1000000 random 1000 1000 master 5 1 32 43479 886 indexscan cached 1 53 4937 7144.78 18.597000
btree-saop xeon 1686653071 1000000 random 1000 1000 master 5 1 32 43479 886 bitmapscan uncached 1 185 5022 6404.92 79.375000
btree-saop xeon 1686653071 1000000 random 1000 1000 master 5 1 32 43479 886 bitmapscan cached 1 185 5022 6404.92 19.199000
btree-saop xeon 1686653071 1000000 random 1000 1000 master 5 1 32 43479 886 seqscan uncached 1 21 4972 59728.87 269.633000
btree-saop xeon 1686653072 1000000 random 1000 1000 master 5 1 32 43479 886 seqscan cached 1 21 4972 59728.87 200.472000
btree-saop xeon 1686653072 1000000 random 1000 1000 master 5 1 32 43479 886 indexscan uncached 2 280 5083 7144.78 530.988000
btree-saop xeon 1686653073 1000000 random 1000 1000 master 5 1 32 43479 886 indexscan cached 2 280 5083 7144.78 16.801000
btree-saop xeon 1686653073 1000000 random 1000 1000 master 5 1 32 43479 886 bitmapscan uncached 2 258 4925 6404.92 74.647000
btree-saop xeon 1686653074 1000000 random 1000 1000 master 5 1 32 43479 886 bitmapscan cached 2 258 4925 6404.92 19.169000
btree-saop xeon 1686653074 1000000 random 1000 1000 master 5 1 32 43479 886 indexscan uncached 3 459 5011 7144.78 528.483000
btree-saop xeon 1686653074 1000000 random 1000 1000 master 5 1 32 43479 886 indexscan cached 3 459 5011 7144.78 18.079000
btree-saop xeon 1686653075 1000000 random 1000 1000 master 5 1 32 43479 886 bitmapscan uncached 3 593 5081 7054.59 81.966000
btree-saop xeon 1686653075 1000000 random 1000 1000 master 5 1 32 43479 886 bitmapscan cached 3 593 5081 7054.59 19.104000
btree-saop xeon 1686653075 1000000 random 1000 1000 master 5 1 32 43479 886 indexscan uncached 4 762 5039 7144.78 539.141000
btree-saop xeon 1686653076 1000000 random 1000 1000 master 5 1 32 43479 886 indexscan cached 4 762 5039 7144.78 18.228000
btree-saop xeon 1686653076 1000000 random 1000 1000 master 5 1 32 43479 886 bitmapscan uncached 4 726 5015 6404.92 79.457000
btree-saop xeon 1686653076 1000000 random 1000 1000 master 5 1 32 43479 886 bitmapscan cached 4 726 5015 6404.92 19.323000
btree-saop xeon 1686653076 1000000 random 1000 1000 master 5 1 32 43479 886 indexscan uncached 5 905 4952 7144.78 528.200000
btree-saop xeon 1686653077 1000000 random 1000 1000 master 5 1 32 43479 886 indexscan cached 5 905 4952 7144.78 17.846000
btree-saop xeon 1686653077 1000000 random 1000 1000 master 5 1 32 43479 886 bitmapscan uncached 5 861 4893 6404.92 79.428000
btree-saop xeon 1686653078 1000000 random 1000 1000 master 5 1 32 43479 886 bitmapscan cached 5 861 4893 6404.92 19.235000
btree-saop xeon 1686653078 1000000 random 1000 1000 master 5 10 0 43479 886 indexscan uncached 1 89 5000 7784.55 545.779000
btree-saop xeon 1686653079 1000000 random 1000 1000 master 5 10 0 43479 886 indexscan cached 1 89 5000 7784.55 19.264000
btree-saop xeon 1686653079 1000000 random 1000 1000 master 5 10 0 43479 886 bitmapscan uncached 1 68 5098 6404.92 414.264000
btree-saop xeon 1686653080 1000000 random 1000 1000 master 5 10 0 43479 886 bitmapscan cached 1 68 5098 6404.92 19.911000
btree-saop xeon 1686653080 1000000 random 1000 1000 master 5 10 0 43479 886 seqscan uncached 1 156 5125 59728.87 274.259000
btree-saop xeon 1686653080 1000000 random 1000 1000 master 5 10 0 43479 886 seqscan cached 1 156 5125 59728.87 201.499000
btree-saop xeon 1686653080 1000000 random 1000 1000 master 5 10 0 43479 886 indexscan uncached 2 257 4890 7144.78 520.869000
btree-saop xeon 1686653081 1000000 random 1000 1000 master 5 10 0 43479 886 indexscan cached 2 257 4890 7144.78 16.194000
btree-saop xeon 1686653081 1000000 random 1000 1000 master 5 10 0 43479 886 bitmapscan uncached 2 298 5069 6404.92 410.544000
btree-saop xeon 1686653082 1000000 random 1000 1000 master 5 10 0 43479 886 bitmapscan cached 2 298 5069 6404.92 19.116000
btree-saop xeon 1686653082 1000000 random 1000 1000 master 5 10 0 43479 886 indexscan uncached 3 428 4942 7144.78 528.366000
btree-saop xeon 1686653083 1000000 random 1000 1000 master 5 10 0 43479 886 indexscan cached 3 428 4942 7144.78 17.172000
btree-saop xeon 1686653083 1000000 random 1000 1000 master 5 10 0 43479 886 bitmapscan uncached 3 410 4880 6404.92 411.404000
btree-saop xeon 1686653084 1000000 random 1000 1000 master 5 10 0 43479 886 bitmapscan cached 3 410 4880 6404.92 19.237000
btree-saop xeon 1686653084 1000000 random 1000 1000 master 5 10 0 43479 886 indexscan uncached 4 651 5093 7144.78 544.655000
btree-saop xeon 1686653085 1000000 random 1000 1000 master 5 10 0 43479 886 indexscan cached 4 651 5093 7144.78 18.875000
btree-saop xeon 1686653085 1000000 random 1000 1000 master 5 10 0 43479 886 bitmapscan uncached 4 719 5004 6404.92 408.541000
btree-saop xeon 1686653085 1000000 random 1000 1000 master 5 10 0 43479 886 bitmapscan cached 4 719 5004 6404.92 19.169000
btree-saop xeon 1686653086 1000000 random 1000 1000 master 5 10 0 43479 886 indexscan uncached 5 770 4975 7144.78 530.076000
btree-saop xeon 1686653086 1000000 random 1000 1000 master 5 10 0 43479 886 indexscan cached 5 770 4975 7144.78 18.171000
btree-saop xeon 1686653086 1000000 random 1000 1000 master 5 10 0 43479 886 bitmapscan uncached 5 886 4966 6404.92 403.350000
btree-saop xeon 1686653087 1000000 random 1000 1000 master 5 10 0 43479 886 bitmapscan cached 5 886 4966 6404.92 18.360000
btree-saop xeon 1686653087 1000000 random 1000 1000 master 5 10 32 43479 886 indexscan uncached 1 125 5170 7144.78 561.470000
btree-saop xeon 1686653088 1000000 random 1000 1000 master 5 10 32 43479 886 indexscan cached 1 125 5170 7144.78 18.023000
btree-saop xeon 1686653088 1000000 random 1000 1000 master 5 10 32 43479 886 bitmapscan uncached 1 132 5001 6404.92 81.375000
btree-saop xeon 1686653089 1000000 random 1000 1000 master 5 10 32 43479 886 bitmapscan cached 1 132 5001 6404.92 18.837000
btree-saop xeon 1686653089 1000000 random 1000 1000 master 5 10 32 43479 886 seqscan uncached 1 184 5049 59728.87 272.165000
btree-saop xeon 1686653089 1000000 random 1000 1000 master 5 10 32 43479 886 seqscan cached 1 184 5049 59728.87 203.416000
btree-saop xeon 1686653090 1000000 random 1000 1000 master 5 10 32 43479 886 indexscan uncached 2 231 4941 7144.78 530.023000
btree-saop xeon 1686653091 1000000 random 1000 1000 master 5 10 32 43479 886 indexscan cached 2 231 4941 7144.78 16.581000
btree-saop xeon 1686653091 1000000 random 1000 1000 master 5 10 32 43479 886 bitmapscan uncached 2 245 5000 6404.92 76.846000
btree-saop xeon 1686653091 1000000 random 1000 1000 master 5 10 32 43479 886 bitmapscan cached 2 245 5000 6404.92 17.883000
btree-saop xeon 1686653091 1000000 random 1000 1000 master 5 10 32 43479 886 indexscan uncached 3 490 5079 7144.78 536.937000
btree-saop xeon 1686653092 1000000 random 1000 1000 master 5 10 32 43479 886 indexscan cached 3 490 5079 7144.78 16.634000
btree-saop xeon 1686653092 1000000 random 1000 1000 master 5 10 32 43479 886 bitmapscan uncached 3 517 5038 6404.92 76.833000
btree-saop xeon 1686653092 1000000 random 1000 1000 master 5 10 32 43479 886 bitmapscan cached 3 517 5038 6404.92 18.487000
btree-saop xeon 1686653092 1000000 random 1000 1000 master 5 10 32 43479 886 indexscan uncached 4 695 4952 7144.78 536.235000
btree-saop xeon 1686653093 1000000 random 1000 1000 master 5 10 32 43479 886 indexscan cached 4 695 4952 7144.78 16.296000
btree-saop xeon 1686653093 1000000 random 1000 1000 master 5 10 32 43479 886 bitmapscan uncached 4 697 5008 6404.92 80.629000
btree-saop xeon 1686653094 1000000 random 1000 1000 master 5 10 32 43479 886 bitmapscan cached 4 697 5008 6404.92 18.915000
btree-saop xeon 1686653094 1000000 random 1000 1000 master 5 10 32 43479 886 indexscan uncached 5 937 5031 7144.78 541.132000
btree-saop xeon 1686653095 1000000 random 1000 1000 master 5 10 32 43479 886 indexscan cached 5 937 5031 7144.78 17.348000
btree-saop xeon 1686653095 1000000 random 1000 1000 master 5 10 32 43479 886 bitmapscan uncached 5 785 5013 6404.92 80.284000
btree-saop xeon 1686653095 1000000 random 1000 1000 master 5 10 32 43479 886 bitmapscan cached 5 785 5013 6404.92 18.732000
btree-saop xeon 1686653095 1000000 random 1000 1000 master 10 1 0 43479 886 indexscan uncached 1 7 9995 13566.59 1008.536000
btree-saop xeon 1686653097 1000000 random 1000 1000 master 10 1 0 43479 886 indexscan cached 1 7 9995 13566.59 24.670000
btree-saop xeon 1686653097 1000000 random 1000 1000 master 10 1 0 43479 886 bitmapscan uncached 1 115 9952 11600.48 569.102000
btree-saop xeon 1686653098 1000000 random 1000 1000 master 10 1 0 43479 886 bitmapscan cached 1 115 9952 11600.48 26.730000
btree-saop xeon 1686653098 1000000 random 1000 1000 master 10 1 0 43479 886 seqscan uncached 1 149 9927 58478.90 269.930000
btree-saop xeon 1686653098 1000000 random 1000 1000 master 10 1 0 43479 886 seqscan cached 1 149 9927 58478.90 192.608000
btree-saop xeon 1686653098 1000000 random 1000 1000 master 10 1 0 43479 886 indexscan uncached 2 234 9859 13566.59 982.119000
btree-saop xeon 1686653100 1000000 random 1000 1000 master 10 1 0 43479 886 indexscan cached 2 234 9859 13566.59 22.754000
btree-saop xeon 1686653100 1000000 random 1000 1000 master 10 1 0 43479 886 bitmapscan uncached 2 318 10071 11600.48 554.513000
btree-saop xeon 1686653101 1000000 random 1000 1000 master 10 1 0 43479 886 bitmapscan cached 2 318 10071 11600.48 26.772000
btree-saop xeon 1686653101 1000000 random 1000 1000 master 10 1 0 43479 886 indexscan uncached 3 490 9944 13566.59 986.476000
btree-saop xeon 1686653102 1000000 random 1000 1000 master 10 1 0 43479 886 indexscan cached 3 490 9944 13566.59 22.951000
btree-saop xeon 1686653102 1000000 random 1000 1000 master 10 1 0 43479 886 bitmapscan uncached 3 405 10013 11600.48 552.924000
btree-saop xeon 1686653103 1000000 random 1000 1000 master 10 1 0 43479 886 bitmapscan cached 3 405 10013 11600.48 25.484000
btree-saop xeon 1686653103 1000000 random 1000 1000 master 10 1 0 43479 886 indexscan uncached 4 736 9931 13566.59 988.492000
btree-saop xeon 1686653104 1000000 random 1000 1000 master 10 1 0 43479 886 indexscan cached 4 736 9931 13566.59 22.268000
btree-saop xeon 1686653104 1000000 random 1000 1000 master 10 1 0 43479 886 bitmapscan uncached 4 662 9882 11600.48 517.631000
btree-saop xeon 1686653105 1000000 random 1000 1000 master 10 1 0 43479 886 bitmapscan cached 4 662 9882 11600.48 25.785000
btree-saop xeon 1686653105 1000000 random 1000 1000 master 10 1 0 43479 886 indexscan uncached 5 872 10096 13566.59 1013.279000
btree-saop xeon 1686653107 1000000 random 1000 1000 master 10 1 0 43479 886 indexscan cached 5 872 10096 13566.59 23.280000
btree-saop xeon 1686653107 1000000 random 1000 1000 master 10 1 0 43479 886 bitmapscan uncached 5 986 10062 11600.48 530.941000
btree-saop xeon 1686653108 1000000 random 1000 1000 master 10 1 0 43479 886 bitmapscan cached 5 986 10062 11600.48 26.412000
btree-saop xeon 1686653108 1000000 random 1000 1000 master 10 1 32 43479 886 indexscan uncached 1 179 10131 13566.59 1005.199000
btree-saop xeon 1686653109 1000000 random 1000 1000 master 10 1 32 43479 886 indexscan cached 1 179 10131 13566.59 23.709000
btree-saop xeon 1686653109 1000000 random 1000 1000 master 10 1 32 43479 886 bitmapscan uncached 1 125 10219 12050.88 123.407000
btree-saop xeon 1686653110 1000000 random 1000 1000 master 10 1 32 43479 886 bitmapscan cached 1 125 10219 12050.88 27.563000
btree-saop xeon 1686653110 1000000 random 1000 1000 master 10 1 32 43479 886 seqscan uncached 1 12 9910 58478.90 263.580000
btree-saop xeon 1686653110 1000000 random 1000 1000 master 10 1 32 43479 886 seqscan cached 1 12 9910 58478.90 192.301000
btree-saop xeon 1686653111 1000000 random 1000 1000 master 10 1 32 43479 886 indexscan uncached 2 319 10061 13566.59 997.622000
btree-saop xeon 1686653112 1000000 random 1000 1000 master 10 1 32 43479 886 indexscan cached 2 319 10061 13566.59 24.350000
btree-saop xeon 1686653112 1000000 random 1000 1000 master 10 1 32 43479 886 bitmapscan uncached 2 335 10106 11600.48 121.366000
btree-saop xeon 1686653112 1000000 random 1000 1000 master 10 1 32 43479 886 bitmapscan cached 2 335 10106 11600.48 27.040000
btree-saop xeon 1686653112 1000000 random 1000 1000 master 10 1 32 43479 886 indexscan uncached 3 496 9843 13566.59 984.453000
btree-saop xeon 1686653114 1000000 random 1000 1000 master 10 1 32 43479 886 indexscan cached 3 496 9843 13566.59 22.834000
btree-saop xeon 1686653114 1000000 random 1000 1000 master 10 1 32 43479 886 bitmapscan uncached 3 546 10034 11600.48 119.111000
btree-saop xeon 1686653114 1000000 random 1000 1000 master 10 1 32 43479 886 bitmapscan cached 3 546 10034 11600.48 26.603000
btree-saop xeon 1686653114 1000000 random 1000 1000 master 10 1 32 43479 886 indexscan uncached 4 764 9823 13566.59 971.559000
btree-saop xeon 1686653116 1000000 random 1000 1000 master 10 1 32 43479 886 indexscan cached 4 764 9823 13566.59 22.848000
btree-saop xeon 1686653116 1000000 random 1000 1000 master 10 1 32 43479 886 bitmapscan uncached 4 653 10110 11600.48 116.610000
btree-saop xeon 1686653116 1000000 random 1000 1000 master 10 1 32 43479 886 bitmapscan cached 4 653 10110 11600.48 26.804000
btree-saop xeon 1686653116 1000000 random 1000 1000 master 10 1 32 43479 886 indexscan uncached 5 876 10052 13566.59 988.300000
btree-saop xeon 1686653117 1000000 random 1000 1000 master 10 1 32 43479 886 indexscan cached 5 876 10052 13566.59 23.304000
btree-saop xeon 1686653117 1000000 random 1000 1000 master 10 1 32 43479 886 bitmapscan uncached 5 830 9910 11600.48 115.387000
btree-saop xeon 1686653118 1000000 random 1000 1000 master 10 1 32 43479 886 bitmapscan cached 5 830 9910 11600.48 27.031000
btree-saop xeon 1686653118 1000000 random 1000 1000 master 10 10 0 43479 886 indexscan uncached 1 49 10019 14144.91 996.330000
btree-saop xeon 1686653120 1000000 random 1000 1000 master 10 10 0 43479 886 indexscan cached 1 49 10019 14144.91 24.124000
btree-saop xeon 1686653120 1000000 random 1000 1000 master 10 10 0 43479 886 bitmapscan uncached 1 38 10122 11600.48 550.921000
btree-saop xeon 1686653120 1000000 random 1000 1000 master 10 10 0 43479 886 bitmapscan cached 1 38 10122 11600.48 26.904000
btree-saop xeon 1686653120 1000000 random 1000 1000 master 10 10 0 43479 886 seqscan uncached 1 0 9361 58478.90 266.187000
btree-saop xeon 1686653121 1000000 random 1000 1000 master 10 10 0 43479 886 seqscan cached 1 0 9361 58478.90 194.147000
btree-saop xeon 1686653121 1000000 random 1000 1000 master 10 10 0 43479 886 indexscan uncached 2 297 9936 13566.59 996.679000
btree-saop xeon 1686653123 1000000 random 1000 1000 master 10 10 0 43479 886 indexscan cached 2 297 9936 13566.59 23.501000
btree-saop xeon 1686653123 1000000 random 1000 1000 master 10 10 0 43479 886 bitmapscan uncached 2 248 10070 11600.48 546.055000
btree-saop xeon 1686653124 1000000 random 1000 1000 master 10 10 0 43479 886 bitmapscan cached 2 248 10070 11600.48 26.221000
btree-saop xeon 1686653124 1000000 random 1000 1000 master 10 10 0 43479 886 indexscan uncached 3 505 10051 13566.59 1006.792000
btree-saop xeon 1686653125 1000000 random 1000 1000 master 10 10 0 43479 886 indexscan cached 3 505 10051 13566.59 23.065000
btree-saop xeon 1686653125 1000000 random 1000 1000 master 10 10 0 43479 886 bitmapscan uncached 3 456 9787 11600.48 543.355000
btree-saop xeon 1686653126 1000000 random 1000 1000 master 10 10 0 43479 886 bitmapscan cached 3 456 9787 11600.48 26.603000
btree-saop xeon 1686653126 1000000 random 1000 1000 master 10 10 0 43479 886 indexscan uncached 4 545 10163 13566.59 995.786000
btree-saop xeon 1686653127 1000000 random 1000 1000 master 10 10 0 43479 886 indexscan cached 4 545 10163 13566.59 23.047000
btree-saop xeon 1686653127 1000000 random 1000 1000 master 10 10 0 43479 886 bitmapscan uncached 4 583 9988 11600.48 591.709000
btree-saop xeon 1686653128 1000000 random 1000 1000 master 10 10 0 43479 886 bitmapscan cached 4 583 9988 11600.48 26.707000
btree-saop xeon 1686653128 1000000 random 1000 1000 master 10 10 0 43479 886 indexscan uncached 5 777 9870 13566.59 982.986000
btree-saop xeon 1686653130 1000000 random 1000 1000 master 10 10 0 43479 886 indexscan cached 5 777 9870 13566.59 22.445000
btree-saop xeon 1686653130 1000000 random 1000 1000 master 10 10 0 43479 886 bitmapscan uncached 5 751 10024 11600.48 530.039000
btree-saop xeon 1686653131 1000000 random 1000 1000 master 10 10 0 43479 886 bitmapscan cached 5 751 10024 11600.48 26.993000
btree-saop xeon 1686653131 1000000 random 1000 1000 master 10 10 32 43479 886 indexscan uncached 1 26 9993 13566.59 1003.475000
btree-saop xeon 1686653132 1000000 random 1000 1000 master 10 10 32 43479 886 indexscan cached 1 26 9993 13566.59 24.259000
btree-saop xeon 1686653132 1000000 random 1000 1000 master 10 10 32 43479 886 bitmapscan uncached 1 140 9948 11600.48 117.904000
btree-saop xeon 1686653133 1000000 random 1000 1000 master 10 10 32 43479 886 bitmapscan cached 1 140 9948 11600.48 27.788000
btree-saop xeon 1686653133 1000000 random 1000 1000 master 10 10 32 43479 886 seqscan uncached 1 136 10162 58478.90 250.283000
btree-saop xeon 1686653133 1000000 random 1000 1000 master 10 10 32 43479 886 seqscan cached 1 136 10162 58478.90 196.325000
btree-saop xeon 1686653133 1000000 random 1000 1000 master 10 10 32 43479 886 indexscan uncached 2 326 10040 13566.59 996.565000
btree-saop xeon 1686653135 1000000 random 1000 1000 master 10 10 32 43479 886 indexscan cached 2 326 10040 13566.59 23.570000
btree-saop xeon 1686653135 1000000 random 1000 1000 master 10 10 32 43479 886 bitmapscan uncached 2 185 10021 11600.48 118.889000
btree-saop xeon 1686653135 1000000 random 1000 1000 master 10 10 32 43479 886 bitmapscan cached 2 185 10021 11600.48 26.532000
btree-saop xeon 1686653135 1000000 random 1000 1000 master 10 10 32 43479 886 indexscan uncached 3 526 9915 13566.59 987.408000
