test machine time rows dataset matches distinct build nvalues distance prefetch table_size index_size scan_type caching run value nfound cost duration
btree-saop xeon 1686707013 100000000 random 1000 100000 master 5 1 0 4347827 88462 indexscan uncached 1 2499 5137 7726.66 570.402000
btree-saop xeon 1686707018 100000000 random 1000 100000 master 5 1 0 4347827 88462 indexscan cached 1 2499 5137 7726.66 16.638000
btree-saop xeon 1686707018 100000000 random 1000 100000 master 5 1 0 4347827 88462 bitmapscan uncached 1 15545 4998 7672.96 555.915000
btree-saop xeon 1686707019 100000000 random 1000 100000 master 5 1 0 4347827 88462 bitmapscan cached 1 15545 4998 7672.96 18.684000
btree-saop xeon 1686707019 100000000 random 1000 100000 master 5 1 0 4347827 88462 seqscan uncached 1 15005 4895 5972827.39 22713.471000
btree-saop xeon 1686707042 100000000 random 1000 100000 master 5 1 0 4347827 88462 seqscan cached 1 15005 4895 5972827.39 18464.381000
btree-saop xeon 1686707060 100000000 random 1000 100000 master 5 1 0 4347827 88462 indexscan uncached 2 28684 4935 7726.66 587.230000
btree-saop xeon 1686707063 100000000 random 1000 100000 master 5 1 0 4347827 88462 indexscan cached 2 28684 4935 7726.66 16.746000
btree-saop xeon 1686707063 100000000 random 1000 100000 master 5 1 0 4347827 88462 bitmapscan uncached 2 31248 5021 7672.96 565.967000
btree-saop xeon 1686707064 100000000 random 1000 100000 master 5 1 0 4347827 88462 bitmapscan cached 2 31248 5021 7672.96 19.326000
btree-saop xeon 1686707064 100000000 random 1000 100000 master 5 1 0 4347827 88462 indexscan uncached 3 58309 4971 7726.66 562.552000
btree-saop xeon 1686707065 100000000 random 1000 100000 master 5 1 0 4347827 88462 indexscan cached 3 58309 4971 7726.66 17.968000
btree-saop xeon 1686707065 100000000 random 1000 100000 master 5 1 0 4347827 88462 bitmapscan uncached 3 42829 5056 7672.96 569.529000
btree-saop xeon 1686707066 100000000 random 1000 100000 master 5 1 0 4347827 88462 bitmapscan cached 3 42829 5056 7672.96 19.896000
btree-saop xeon 1686707066 100000000 random 1000 100000 master 5 1 0 4347827 88462 indexscan uncached 4 77282 4984 7726.66 561.796000
btree-saop xeon 1686707067 100000000 random 1000 100000 master 5 1 0 4347827 88462 indexscan cached 4 77282 4984 7726.66 17.163000
btree-saop xeon 1686707067 100000000 random 1000 100000 master 5 1 0 4347827 88462 bitmapscan uncached 4 77528 5013 7672.96 566.120000
btree-saop xeon 1686707068 100000000 random 1000 100000 master 5 1 0 4347827 88462 bitmapscan cached 4 77528 5013 7672.96 19.571000
btree-saop xeon 1686707068 100000000 random 1000 100000 master 5 1 0 4347827 88462 indexscan uncached 5 83436 4941 7726.66 560.580000
btree-saop xeon 1686707069 100000000 random 1000 100000 master 5 1 0 4347827 88462 indexscan cached 5 83436 4941 7726.66 17.412000
btree-saop xeon 1686707069 100000000 random 1000 100000 master 5 1 0 4347827 88462 bitmapscan uncached 5 89796 5035 7672.96 576.078000
btree-saop xeon 1686707069 100000000 random 1000 100000 master 5 1 0 4347827 88462 bitmapscan cached 5 89796 5035 7672.96 20.451000
btree-saop xeon 1686707070 100000000 random 1000 100000 master 5 1 32 4347827 88462 indexscan uncached 1 19446 5030 7726.66 573.198000
btree-saop xeon 1686707071 100000000 random 1000 100000 master 5 1 32 4347827 88462 indexscan cached 1 19446 5030 7726.66 18.369000
btree-saop xeon 1686707071 100000000 random 1000 100000 master 5 1 32 4347827 88462 bitmapscan uncached 1 13598 4975 7672.96 74.035000
btree-saop xeon 1686707071 100000000 random 1000 100000 master 5 1 32 4347827 88462 bitmapscan cached 1 13598 4975 7672.96 18.629000
btree-saop xeon 1686707071 100000000 random 1000 100000 master 5 1 32 4347827 88462 seqscan uncached 1 13829 5040 5972827.39 22559.349000
btree-saop xeon 1686707094 100000000 random 1000 100000 master 5 1 32 4347827 88462 seqscan cached 1 13829 5040 5972827.39 18401.106000
btree-saop xeon 1686707112 100000000 random 1000 100000 master 5 1 32 4347827 88462 indexscan uncached 2 24243 5023 7726.66 574.491000
btree-saop xeon 1686707115 100000000 random 1000 100000 master 5 1 32 4347827 88462 indexscan cached 2 24243 5023 7726.66 16.033000
btree-saop xeon 1686707115 100000000 random 1000 100000 master 5 1 32 4347827 88462 bitmapscan uncached 2 25581 4934 7672.96 70.416000
btree-saop xeon 1686707116 100000000 random 1000 100000 master 5 1 32 4347827 88462 bitmapscan cached 2 25581 4934 7672.96 18.805000
btree-saop xeon 1686707116 100000000 random 1000 100000 master 5 1 32 4347827 88462 indexscan uncached 3 52467 5195 7726.66 577.576000
btree-saop xeon 1686707117 100000000 random 1000 100000 master 5 1 32 4347827 88462 indexscan cached 3 52467 5195 7726.66 16.893000
btree-saop xeon 1686707117 100000000 random 1000 100000 master 5 1 32 4347827 88462 bitmapscan uncached 3 57662 5072 7672.96 74.367000
btree-saop xeon 1686707117 100000000 random 1000 100000 master 5 1 32 4347827 88462 bitmapscan cached 3 57662 5072 7672.96 19.108000
btree-saop xeon 1686707117 100000000 random 1000 100000 master 5 1 32 4347827 88462 indexscan uncached 4 74688 5088 7726.66 565.676000
btree-saop xeon 1686707118 100000000 random 1000 100000 master 5 1 32 4347827 88462 indexscan cached 4 74688 5088 7726.66 16.361000
btree-saop xeon 1686707118 100000000 random 1000 100000 master 5 1 32 4347827 88462 bitmapscan uncached 4 78906 5086 7672.96 75.635000
btree-saop xeon 1686707118 100000000 random 1000 100000 master 5 1 32 4347827 88462 bitmapscan cached 4 78906 5086 7672.96 19.775000
btree-saop xeon 1686707118 100000000 random 1000 100000 master 5 1 32 4347827 88462 indexscan uncached 5 96393 4984 7726.66 555.555000
btree-saop xeon 1686707119 100000000 random 1000 100000 master 5 1 32 4347827 88462 indexscan cached 5 96393 4984 7726.66 16.626000
btree-saop xeon 1686707119 100000000 random 1000 100000 master 5 1 32 4347827 88462 bitmapscan uncached 5 96458 4947 7672.96 73.602000
btree-saop xeon 1686707120 100000000 random 1000 100000 master 5 1 32 4347827 88462 bitmapscan cached 5 96458 4947 7672.96 18.875000
btree-saop xeon 1686707120 100000000 random 1000 100000 master 5 10 0 4347827 88462 indexscan uncached 1 6005 5010 7726.66 565.738000
btree-saop xeon 1686707121 100000000 random 1000 100000 master 5 10 0 4347827 88462 indexscan cached 1 6005 5010 7726.66 18.680000
btree-saop xeon 1686707121 100000000 random 1000 100000 master 5 10 0 4347827 88462 bitmapscan uncached 1 13093 4870 7672.96 554.999000
btree-saop xeon 1686707122 100000000 random 1000 100000 master 5 10 0 4347827 88462 bitmapscan cached 1 13093 4870 7672.96 19.907000
