test	machine	rows	dataset	nmatches	ndistinct	build	prefetch	scan_type	caching	duration
btree	i5	1000000	cycle	1	1000000	2-20231016	32	indexonlyscan-clean	cached	7.456
btree	i5	1000000	cycle	1	1000000	2-20231016	32	indexonlyscan-clean	cached-os	7.68
btree	i5	1000000	cycle	1	1000000	2-20231016	32	indexonlyscan-clean	uncached	14.177
btree	i5	1000000	cycle	1	1000000	2-20231016	32	indexscan	cached	7.723
btree	i5	1000000	cycle	1	1000000	2-20231016	32	indexscan	cached-os	7.926
btree	i5	1000000	cycle	1	1000000	2-20231016	32	indexscan	uncached	13.642
btree	i5	1000000	cycle	1	1000000	2-20231016	32	seqscan	cached	128.94
btree	i5	1000000	cycle	1	1000000	2-20231016	32	seqscan	cached-os	143.312
btree	i5	1000000	cycle	1	1000000	2-20231016	32	seqscan	uncached	379.15
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	bitmapscan	cached	7.673
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	bitmapscan	cached-os	7.767
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	bitmapscan	uncached	15.477
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	indexonlyscan	cached	7.483
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	indexonlyscan	cached-os	7.652
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	indexonlyscan	uncached	13.427
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	indexonlyscan-clean	cached	7.581
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	indexonlyscan-clean	cached-os	7.736
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	indexonlyscan-clean	uncached	14.195
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	indexscan	cached	7.442
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	indexscan	cached-os	7.883
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	indexscan	uncached	12.926
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	seqscan	cached	126.336
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	seqscan	cached-os	144.939
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	0	seqscan	uncached	415.816
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	bitmapscan	cached	7.753
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	bitmapscan	cached-os	7.838
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	bitmapscan	uncached	14.053
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	indexonlyscan	cached	7.504
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	indexonlyscan	cached-os	7.757
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	indexonlyscan	uncached	12.984
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	indexonlyscan-clean	cached	7.457
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	indexonlyscan-clean	cached-os	7.798
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	indexonlyscan-clean	uncached	14.451
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	indexscan	cached	7.596
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	indexscan	cached-os	7.888
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	indexscan	uncached	13.098
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	seqscan	cached	127.439
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	seqscan	cached-os	142.273
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	8	seqscan	uncached	378.043
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	bitmapscan	cached	7.714
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	bitmapscan	cached-os	7.867
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	bitmapscan	uncached	13.207
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	indexonlyscan	cached	7.387
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	indexonlyscan	cached-os	7.68
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	indexonlyscan	uncached	13.018
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	indexonlyscan-clean	cached	7.661
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	indexonlyscan-clean	cached-os	7.824
