test machine time rows dataset matches distinct build prefetch table_size index_size scan caching run value nfound cost duration best_plan correct_plan
hash i5 1700761219 1000000 random 1000 1000 1-master 0 43479 5628 indexscan uncached 1 186 956 3977.41 170.658000 0 1
hash i5 1700761220 1000000 random 1000 1000 1-master 0 43479 5628 indexscan cached-os 1 186 956 3977.41 14.276000 0 1
hash i5 1700761220 1000000 random 1000 1000 1-master 0 43479 5628 indexscan cached 1 186 956 3977.41 9.018000 0 1
hash i5 1700761220 1000000 random 1000 1000 1-master 0 43479 5628 bitmapscan uncached 1 68 1060 3536.06 189.116000 1 1
hash i5 1700761221 1000000 random 1000 1000 1-master 0 43479 5628 bitmapscan cached-os 1 68 1060 3536.06 15.455000 1 1
hash i5 1700761221 1000000 random 1000 1000 1-master 0 43479 5628 bitmapscan cached 1 68 1060 3536.06 9.523000 1 1
hash i5 1700761221 1000000 random 1000 1000 1-master 0 43479 5628 seqscan uncached 1 77 1078 55978.90 347.265000 0 1
hash i5 1700761222 1000000 random 1000 1000 1-master 0 43479 5628 seqscan cached-os 1 77 1078 55978.90 144.969000 0 1
hash i5 1700761222 1000000 random 1000 1000 1-master 0 43479 5628 seqscan cached 1 77 1078 55978.90 128.388000 0 1
hash i5 1700761222 1000000 random 1000 1000 1-master 0 43479 5628 indexscan uncached 2 300 1003 3977.41 176.847000 0 1
hash i5 1700761223 1000000 random 1000 1000 1-master 0 43479 5628 indexscan cached-os 2 300 1003 3977.41 14.793000 0 1
hash i5 1700761223 1000000 random 1000 1000 1-master 0 43479 5628 indexscan cached 2 300 1003 3977.41 8.608000 0 1
hash i5 1700761223 1000000 random 1000 1000 1-master 0 43479 5628 bitmapscan uncached 2 204 927 3536.06 167.700000 1 1
hash i5 1700761223 1000000 random 1000 1000 1-master 0 43479 5628 bitmapscan cached-os 2 204 927 3536.06 14.286000 1 1
hash i5 1700761224 1000000 random 1000 1000 1-master 0 43479 5628 bitmapscan cached 2 204 927 3536.06 9.235000 1 1
hash i5 1700761224 1000000 random 1000 1000 1-master 0 43479 5628 indexscan uncached 3 551 1003 3977.41 178.348000 0 1
hash i5 1700761224 1000000 random 1000 1000 1-master 0 43479 5628 indexscan cached-os 3 551 1003 3977.41 14.591000 0 1
