test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration best_plan correct_plan
btree xeon 1700752833 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean uncached 1 198 1012 19.32 12.146000 1 1
btree xeon 1700752833 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean cached-os 1 198 1012 19.32 9.237000 1 1
btree xeon 1700752833 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean cached 1 198 1012 19.32 9.215000 1 1
btree xeon 1700752833 1000000 random 1000 1000 1-master 32 43479 887 indexscan uncached 1 183 1005 1493.81 124.004000 0 1
btree xeon 1700752834 1000000 random 1000 1000 1-master 32 43479 887 indexscan cached-os 1 183 1005 1493.81 19.827000 0 1
btree xeon 1700752834 1000000 random 1000 1000 1-master 32 43479 887 indexscan cached 1 183 1005 1493.81 10.537000 0 1
btree xeon 1700752834 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan uncached 1 101 1020 1422.65 29.037000 1 1
btree xeon 1700752834 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan cached-os 1 101 1020 1422.65 20.851000 1 1
btree xeon 1700752834 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan cached 1 101 1020 1422.65 11.274000 1 1
btree xeon 1700752834 1000000 random 1000 1000 1-master 32 43479 887 seqscan uncached 1 113 1037 55978.90 326.420000 0 1
btree xeon 1700752835 1000000 random 1000 1000 1-master 32 43479 887 seqscan cached-os 1 113 1037 55978.90 174.075000 0 1
btree xeon 1700752836 1000000 random 1000 1000 1-master 32 43479 887 seqscan cached 1 113 1037 55978.90 158.670000 0 1
btree xeon 1700752836 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan uncached 2 235 1083 19.32 131.896000 1 1
btree xeon 1700752836 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan cached-os 2 235 1083 19.32 20.530000 1 1
btree xeon 1700752837 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan cached 2 235 1083 19.32 10.399000 1 1
btree xeon 1700752837 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean uncached 2 338 1062 19.30 12.665000 1 1
btree xeon 1700752838 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean cached-os 2 338 1062 19.30 9.539000 1 1
btree xeon 1700752838 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean cached 2 338 1062 19.30 8.871000 1 1
btree xeon 1700752838 1000000 random 1000 1000 1-master 32 43479 887 indexscan uncached 2 305 1009 1492.28 123.247000 0 1
btree xeon 1700752838 1000000 random 1000 1000 1-master 32 43479 887 indexscan cached-os 2 305 1009 1492.28 19.151000 0 1
btree xeon 1700752839 1000000 random 1000 1000 1-master 32 43479 887 indexscan cached 2 305 1009 1492.28 10.713000 0 1
btree xeon 1700752839 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan uncached 2 338 1062 1421.24 29.635000 1 1
btree xeon 1700752839 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan cached-os 2 338 1062 1421.24 21.452000 1 1
btree xeon 1700752839 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan cached 2 338 1062 1421.24 10.997000 1 1
btree xeon 1700752839 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan uncached 3 473 1009 19.30 128.160000 1 1
btree xeon 1700752840 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan cached-os 3 473 1009 19.30 19.706000 1 1
btree xeon 1700752840 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan cached 3 473 1009 19.30 11.220000 1 1
btree xeon 1700752841 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean uncached 3 600 1024 19.29 12.709000 1 1
btree xeon 1700752841 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean cached-os 3 600 1024 19.29 9.387000 1 1
btree xeon 1700752842 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean cached 3 600 1024 19.29 8.959000 1 1
btree xeon 1700752842 1000000 random 1000 1000 1-master 32 43479 887 indexscan uncached 3 556 985 1490.78 122.235000 0 1
