test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration
btree-sort i5 1686843982 10000000 random 1000 10000 master 0 434783 8851 indexscan uncached 1 1533 1001 227.00 168.017000
btree-sort i5 1686843983 10000000 random 1000 10000 master 0 434783 8851 indexscan cached 1 1533 1001 227.00 9.444000
btree-sort i5 1686843983 10000000 random 1000 10000 master 0 434783 8851 bitmapscan uncached 1 1463 1001 1105571.50 4169.295000
btree-sort i5 1686843987 10000000 random 1000 10000 master 0 434783 8851 bitmapscan cached 1 1463 1001 1105571.50 2834.262000
btree-sort i5 1686843990 10000000 random 1000 10000 master 0 434783 8851 seqscan uncached 1 1202 1001 1042613.21 3151.626000
btree-sort i5 1686843994 10000000 random 1000 10000 master 0 434783 8851 seqscan cached 1 1202 1001 1042613.21 1686.044000
btree-sort i5 1686843995 10000000 random 1000 10000 master 0 434783 8851 indexscan uncached 2 2882 1001 266.46 163.316000
btree-sort i5 1686843996 10000000 random 1000 10000 master 0 434783 8851 indexscan cached 2 2882 1001 266.46 9.340000
btree-sort i5 1686843996 10000000 random 1000 10000 master 0 434783 8851 bitmapscan uncached 2 2991 1001 983350.78 4041.903000
btree-sort i5 1686844001 10000000 random 1000 10000 master 0 434783 8851 bitmapscan cached 2 2991 1001 983350.78 2624.225000
btree-sort i5 1686844003 10000000 random 1000 10000 master 0 434783 8851 indexscan uncached 3 5329 1001 393.93 167.625000
btree-sort i5 1686844004 10000000 random 1000 10000 master 0 434783 8851 indexscan cached 3 5329 1001 393.93 9.642000
btree-sort i5 1686844004 10000000 random 1000 10000 master 0 434783 8851 bitmapscan uncached 3 4559 1001 862889.28 3870.883000
btree-sort i5 1686844008 10000000 random 1000 10000 master 0 434783 8851 bitmapscan cached 3 4559 1001 862889.28 2436.354000
btree-sort i5 1686844011 10000000 random 1000 10000 master 0 434783 8851 indexscan uncached 4 6470 1001 514.43 166.620000
btree-sort i5 1686844012 10000000 random 1000 10000 master 0 434783 8851 indexscan cached 4 6470 1001 514.43 9.404000
btree-sort i5 1686844012 10000000 random 1000 10000 master 0 434783 8851 bitmapscan uncached 4 7474 1001 633465.05 3600.220000
btree-sort i5 1686844016 10000000 random 1000 10000 master 0 434783 8851 bitmapscan cached 4 7474 1001 633465.05 2013.866000
btree-sort i5 1686844018 10000000 random 1000 10000 master 0 434783 8851 indexscan uncached 5 9090 1001 1895.73 167.326000
btree-sort i5 1686844018 10000000 random 1000 10000 master 0 434783 8851 indexscan cached 5 9090 1001 1895.73 9.589000
btree-sort i5 1686844018 10000000 random 1000 10000 master 0 434783 8851 bitmapscan uncached 5 9772 1001 395766.61 4855.763000
btree-sort i5 1686844024 10000000 random 1000 10000 master 0 434783 8851 bitmapscan cached 5 9772 1001 395766.61 823.133000
btree-sort i5 1686844025 10000000 random 1000 10000 master 32 434783 8851 indexscan uncached 1 1578 1001 228.08 165.981000
btree-sort i5 1686844025 10000000 random 1000 10000 master 32 434783 8851 indexscan cached 1 1578 1001 228.08 9.735000
btree-sort i5 1686844026 10000000 random 1000 10000 master 32 434783 8851 bitmapscan uncached 1 1328 1001 1116548.66 7378.031000
btree-sort i5 1686844033 10000000 random 1000 10000 master 32 434783 8851 bitmapscan cached 1 1328 1001 1116548.66 3091.636000
btree-sort i5 1686844036 10000000 random 1000 10000 master 32 434783 8851 seqscan uncached 1 572 1001 1075482.43 3167.383000
btree-sort i5 1686844040 10000000 random 1000 10000 master 32 434783 8851 seqscan cached 1 572 1001 1075482.43 1694.040000
btree-sort i5 1686844042 10000000 random 1000 10000 master 32 434783 8851 indexscan uncached 2 3317 1001 282.74 166.973000
btree-sort i5 1686844043 10000000 random 1000 10000 master 32 434783 8851 indexscan cached 2 3317 1001 282.74 9.316000
btree-sort i5 1686844043 10000000 random 1000 10000 master 32 434783 8851 bitmapscan uncached 2 3551 1001 940443.03 7167.763000
btree-sort i5 1686844050 10000000 random 1000 10000 master 32 434783 8851 bitmapscan cached 2 3551 1001 940443.03 2792.335000
btree-sort i5 1686844053 10000000 random 1000 10000 master 32 434783 8851 indexscan uncached 3 4645 1001 345.93 165.263000
btree-sort i5 1686844054 10000000 random 1000 10000 master 32 434783 8851 indexscan cached 3 4645 1001 345.93 9.370000
btree-sort i5 1686844054 10000000 random 1000 10000 master 32 434783 8851 bitmapscan uncached 3 4830 1001 841922.71 6923.966000
btree-sort i5 1686844061 10000000 random 1000 10000 master 32 434783 8851 bitmapscan cached 3 4830 1001 841922.71 2636.048000
btree-sort i5 1686844064 10000000 random 1000 10000 master 32 434783 8851 indexscan uncached 4 7915 1001 852.10 164.807000
btree-sort i5 1686844065 10000000 random 1000 10000 master 32 434783 8851 indexscan cached 4 7915 1001 852.10 9.786000
btree-sort i5 1686844065 10000000 random 1000 10000 master 32 434783 8851 bitmapscan uncached 4 6175 1001 735025.60 6770.985000
btree-sort i5 1686844072 10000000 random 1000 10000 master 32 434783 8851 bitmapscan cached 4 6175 1001 735025.60 2437.888000
btree-sort i5 1686844074 10000000 random 1000 10000 master 32 434783 8851 indexscan uncached 5 8843 1001 1508.45 169.599000
btree-sort i5 1686844075 10000000 random 1000 10000 master 32 434783 8851 indexscan cached 5 8843 1001 1508.45 11.116000
btree-sort i5 1686844075 10000000 random 1000 10000 master 32 434783 8851 bitmapscan uncached 5 9739 1001 418624.43 3056.043000
btree-sort i5 1686844078 10000000 random 1000 10000 master 32 434783 8851 bitmapscan cached 5 9739 1001 418624.43 982.913000
btree-sort i5 1686844080 10000000 random 1000 10000 patched 0 434783 8851 indexscan uncached 1 70 1001 196.66 168.988000
btree-sort i5 1686844081 10000000 random 1000 10000 patched 0 434783 8851 indexscan cached 1 70 1001 196.66 9.364000
btree-sort i5 1686844081 10000000 random 1000 10000 patched 0 434783 8851 bitmapscan uncached 1 1931 1001 1068251.46 4128.254000
btree-sort i5 1686844085 10000000 random 1000 10000 patched 0 434783 8851 bitmapscan cached 1 1931 1001 1068251.46 2760.962000
btree-sort i5 1686844088 10000000 random 1000 10000 patched 0 434783 8851 seqscan uncached 1 1346 1001 1034208.65 3212.209000
btree-sort i5 1686844092 10000000 random 1000 10000 patched 0 434783 8851 seqscan cached 1 1346 1001 1034208.65 1705.346000
btree-sort i5 1686844093 10000000 random 1000 10000 patched 0 434783 8851 indexscan uncached 2 2734 1001 261.23 170.613000
btree-sort i5 1686844094 10000000 random 1000 10000 patched 0 434783 8851 indexscan cached 2 2734 1001 261.23 9.881000
btree-sort i5 1686844094 10000000 random 1000 10000 patched 0 434783 8851 bitmapscan uncached 2 2926 1001 989125.78 4297.619000
btree-sort i5 1686844099 10000000 random 1000 10000 patched 0 434783 8851 bitmapscan cached 2 2926 1001 989125.78 2624.753000
btree-sort i5 1686844101 10000000 random 1000 10000 patched 0 434783 8851 indexscan uncached 3 5259 1001 388.51 172.835000
