test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration
btree i5 1686837505 1000000 random 1000 1000 master 0 43479 889 indexscan uncached 1 107 1014 3957.78 171.751000
btree i5 1686837506 1000000 random 1000 1000 master 0 43479 889 indexscan cached 1 107 1014 3957.78 10.082000
btree i5 1686837506 1000000 random 1000 1000 master 0 43479 889 bitmapscan uncached 1 55 1024 3516.48 177.424000
btree i5 1686837506 1000000 random 1000 1000 master 0 43479 889 bitmapscan cached 1 55 1024 3516.48 10.031000
btree i5 1686837506 1000000 random 1000 1000 master 0 43479 889 seqscan uncached 1 9 985 55978.90 346.319000
btree i5 1686837507 1000000 random 1000 1000 master 0 43479 889 seqscan cached 1 9 985 55978.90 140.886000
btree i5 1686837507 1000000 random 1000 1000 master 0 43479 889 indexscan uncached 2 255 974 3957.78 162.788000
btree i5 1686837508 1000000 random 1000 1000 master 0 43479 889 indexscan cached 2 255 974 3957.78 10.341000
btree i5 1686837508 1000000 random 1000 1000 master 0 43479 889 bitmapscan uncached 2 379 986 3516.48 168.327000
btree i5 1686837508 1000000 random 1000 1000 master 0 43479 889 bitmapscan cached 2 379 986 3516.48 9.905000
btree i5 1686837508 1000000 random 1000 1000 master 0 43479 889 indexscan uncached 3 487 940 3957.78 158.957000
btree i5 1686837509 1000000 random 1000 1000 master 0 43479 889 indexscan cached 3 487 940 3957.78 9.369000
btree i5 1686837509 1000000 random 1000 1000 master 0 43479 889 bitmapscan uncached 3 571 993 3516.48 168.629000
btree i5 1686837509 1000000 random 1000 1000 master 0 43479 889 bitmapscan cached 3 571 993 3516.48 9.663000
btree i5 1686837509 1000000 random 1000 1000 master 0 43479 889 indexscan uncached 4 629 1038 3957.78 173.787000
btree i5 1686837510 1000000 random 1000 1000 master 0 43479 889 indexscan cached 4 629 1038 3957.78 9.640000
btree i5 1686837510 1000000 random 1000 1000 master 0 43479 889 bitmapscan uncached 4 787 994 3516.48 168.224000
btree i5 1686837510 1000000 random 1000 1000 master 0 43479 889 bitmapscan cached 4 787 994 3516.48 9.667000
btree i5 1686837510 1000000 random 1000 1000 master 0 43479 889 indexscan uncached 5 866 985 3957.78 166.249000
btree i5 1686837511 1000000 random 1000 1000 master 0 43479 889 indexscan cached 5 866 985 3957.78 9.346000
btree i5 1686837511 1000000 random 1000 1000 master 0 43479 889 bitmapscan uncached 5 996 1032 3516.48 183.147000
btree i5 1686837511 1000000 random 1000 1000 master 0 43479 889 bitmapscan cached 5 996 1032 3516.48 10.177000
btree i5 1686837512 1000000 random 1000 1000 master 32 43479 889 indexscan uncached 1 163 1035 3957.78 171.829000
btree i5 1686837512 1000000 random 1000 1000 master 32 43479 889 indexscan cached 1 163 1035 3957.78 9.475000
btree i5 1686837512 1000000 random 1000 1000 master 32 43479 889 bitmapscan uncached 1 127 1073 3516.48 32.737000
btree i5 1686837512 1000000 random 1000 1000 master 32 43479 889 bitmapscan cached 1 127 1073 3516.48 9.856000
btree i5 1686837512 1000000 random 1000 1000 master 32 43479 889 seqscan uncached 1 86 1017 55978.90 366.250000
btree i5 1686837513 1000000 random 1000 1000 master 32 43479 889 seqscan cached 1 86 1017 55978.90 141.842000
btree i5 1686837513 1000000 random 1000 1000 master 32 43479 889 indexscan uncached 2 361 1008 3957.78 164.946000
btree i5 1686837514 1000000 random 1000 1000 master 32 43479 889 indexscan cached 2 361 1008 3957.78 9.635000
btree i5 1686837514 1000000 random 1000 1000 master 32 43479 889 bitmapscan uncached 2 324 1038 3516.48 30.080000
btree i5 1686837514 1000000 random 1000 1000 master 32 43479 889 bitmapscan cached 2 324 1038 3516.48 9.901000
btree i5 1686837514 1000000 random 1000 1000 master 32 43479 889 indexscan uncached 3 513 974 3957.78 166.056000
btree i5 1686837515 1000000 random 1000 1000 master 32 43479 889 indexscan cached 3 513 974 3957.78 9.300000
btree i5 1686837515 1000000 random 1000 1000 master 32 43479 889 bitmapscan uncached 3 402 959 3516.48 29.014000
btree i5 1686837515 1000000 random 1000 1000 master 32 43479 889 bitmapscan cached 3 402 959 3516.48 9.788000
btree i5 1686837515 1000000 random 1000 1000 master 32 43479 889 indexscan uncached 4 789 1009 3957.78 166.310000
btree i5 1686837516 1000000 random 1000 1000 master 32 43479 889 indexscan cached 4 789 1009 3957.78 9.549000
btree i5 1686837516 1000000 random 1000 1000 master 32 43479 889 bitmapscan uncached 4 654 991 3516.48 30.344000
btree i5 1686837516 1000000 random 1000 1000 master 32 43479 889 bitmapscan cached 4 654 991 3516.48 9.571000
btree i5 1686837516 1000000 random 1000 1000 master 32 43479 889 indexscan uncached 5 994 996 3957.78 163.927000
btree i5 1686837517 1000000 random 1000 1000 master 32 43479 889 indexscan cached 5 994 996 3957.78 9.482000
btree i5 1686837517 1000000 random 1000 1000 master 32 43479 889 bitmapscan uncached 5 904 1026 3516.48 30.964000
btree i5 1686837517 1000000 random 1000 1000 master 32 43479 889 bitmapscan cached 5 904 1026 3516.48 10.048000
btree i5 1686837517 1000000 random 1000 1000 patched 0 43479 889 indexscan uncached 1 129 979 3957.78 173.930000
btree i5 1686837518 1000000 random 1000 1000 patched 0 43479 889 indexscan cached 1 129 979 3957.78 9.178000
btree i5 1686837518 1000000 random 1000 1000 patched 0 43479 889 bitmapscan uncached 1 96 1050 3516.48 185.190000
btree i5 1686837518 1000000 random 1000 1000 patched 0 43479 889 bitmapscan cached 1 96 1050 3516.48 10.041000
btree i5 1686837518 1000000 random 1000 1000 patched 0 43479 889 seqscan uncached 1 182 1001 55978.90 381.996000
btree i5 1686837519 1000000 random 1000 1000 patched 0 43479 889 seqscan cached 1 182 1001 55978.90 139.195000
btree i5 1686837519 1000000 random 1000 1000 patched 0 43479 889 indexscan uncached 2 218 958 3957.78 171.442000
btree i5 1686837520 1000000 random 1000 1000 patched 0 43479 889 indexscan cached 2 218 958 3957.78 9.338000
btree i5 1686837520 1000000 random 1000 1000 patched 0 43479 889 bitmapscan uncached 2 281 991 3516.48 178.258000
btree i5 1686837520 1000000 random 1000 1000 patched 0 43479 889 bitmapscan cached 2 281 991 3516.48 9.534000
btree i5 1686837520 1000000 random 1000 1000 patched 0 43479 889 indexscan uncached 3 411 1021 3957.78 174.613000
btree i5 1686837521 1000000 random 1000 1000 patched 0 43479 889 indexscan cached 3 411 1021 3957.78 9.706000
btree i5 1686837521 1000000 random 1000 1000 patched 0 43479 889 bitmapscan uncached 3 528 934 3516.48 162.485000
btree i5 1686837521 1000000 random 1000 1000 patched 0 43479 889 bitmapscan cached 3 528 934 3516.48 9.310000
btree i5 1686837521 1000000 random 1000 1000 patched 0 43479 889 indexscan uncached 4 672 996 3957.78 184.670000
btree i5 1686837522 1000000 random 1000 1000 patched 0 43479 889 indexscan cached 4 672 996 3957.78 9.293000
btree i5 1686837522 1000000 random 1000 1000 patched 0 43479 889 bitmapscan uncached 4 750 1012 3516.48 173.696000
btree i5 1686837522 1000000 random 1000 1000 patched 0 43479 889 bitmapscan cached 4 750 1012 3516.48 9.682000
