test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration
hash i5 1686858611 10000000 random 1000 10000 master 0 434783 53145 indexscan uncached 1 474 1027 4001.34 186.085000
hash i5 1686858612 10000000 random 1000 10000 master 0 434783 53145 indexscan cached 1 474 1027 4001.34 9.599000
hash i5 1686858612 10000000 random 1000 10000 master 0 434783 53145 bitmapscan uncached 1 1337 992 3862.35 173.977000
hash i5 1686858612 10000000 random 1000 10000 master 0 434783 53145 bitmapscan cached 1 1337 992 3862.35 9.683000
hash i5 1686858612 10000000 random 1000 10000 master 0 434783 53145 seqscan uncached 1 1064 967 559783.11 3487.405000
hash i5 1686858616 10000000 random 1000 10000 master 0 434783 53145 seqscan cached 1 1064 967 559783.11 1303.664000
hash i5 1686858617 10000000 random 1000 10000 master 0 434783 53145 indexscan uncached 2 3211 949 4001.34 176.677000
hash i5 1686858618 10000000 random 1000 10000 master 0 434783 53145 indexscan cached 2 3211 949 4001.34 9.233000
hash i5 1686858618 10000000 random 1000 10000 master 0 434783 53145 bitmapscan uncached 2 3074 1094 3862.35 175.524000
hash i5 1686858619 10000000 random 1000 10000 master 0 434783 53145 bitmapscan cached 2 3074 1094 3862.35 10.310000
hash i5 1686858619 10000000 random 1000 10000 master 0 434783 53145 indexscan uncached 3 4517 1012 4001.34 187.946000
hash i5 1686858619 10000000 random 1000 10000 master 0 434783 53145 indexscan cached 3 4517 1012 4001.34 9.461000
hash i5 1686858619 10000000 random 1000 10000 master 0 434783 53145 bitmapscan uncached 3 4193 1019 3862.35 200.117000
hash i5 1686858620 10000000 random 1000 10000 master 0 434783 53145 bitmapscan cached 3 4193 1019 3862.35 9.730000
hash i5 1686858620 10000000 random 1000 10000 master 0 434783 53145 indexscan uncached 4 7351 1025 4001.34 176.741000
hash i5 1686858620 10000000 random 1000 10000 master 0 434783 53145 indexscan cached 4 7351 1025 4001.34 9.386000
hash i5 1686858620 10000000 random 1000 10000 master 0 434783 53145 bitmapscan uncached 4 6614 1000 3862.35 179.152000
hash i5 1686858621 10000000 random 1000 10000 master 0 434783 53145 bitmapscan cached 4 6614 1000 3862.35 9.599000
hash i5 1686858621 10000000 random 1000 10000 master 0 434783 53145 indexscan uncached 5 8559 969 4001.34 171.640000
hash i5 1686858621 10000000 random 1000 10000 master 0 434783 53145 indexscan cached 5 8559 969 4001.34 9.315000
hash i5 1686858621 10000000 random 1000 10000 master 0 434783 53145 bitmapscan uncached 5 9632 1036 3862.35 179.572000
hash i5 1686858622 10000000 random 1000 10000 master 0 434783 53145 bitmapscan cached 5 9632 1036 3862.35 9.942000
hash i5 1686858622 10000000 random 1000 10000 master 32 434783 53145 indexscan uncached 1 994 1018 4001.34 167.808000
hash i5 1686858623 10000000 random 1000 10000 master 32 434783 53145 indexscan cached 1 994 1018 4001.34 9.184000
hash i5 1686858623 10000000 random 1000 10000 master 32 434783 53145 bitmapscan uncached 1 2000 1001 3862.35 30.634000
hash i5 1686858623 10000000 random 1000 10000 master 32 434783 53145 bitmapscan cached 1 2000 1001 3862.35 9.717000
hash i5 1686858623 10000000 random 1000 10000 master 32 434783 53145 seqscan uncached 1 622 979 559783.11 3634.951000
