test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration
hash i5 1686841176 1000000 random 1000 1000 master 0 43479 5618 indexscan uncached 1 135 999 3977.41 165.945000
hash i5 1686841177 1000000 random 1000 1000 master 0 43479 5618 indexscan cached 1 135 999 3977.41 9.489000
hash i5 1686841177 1000000 random 1000 1000 master 0 43479 5618 bitmapscan uncached 1 9 1037 3536.06 175.841000
hash i5 1686841178 1000000 random 1000 1000 master 0 43479 5618 bitmapscan cached 1 9 1037 3536.06 9.974000
hash i5 1686841178 1000000 random 1000 1000 master 0 43479 5618 seqscan uncached 1 70 1026 55978.90 386.618000
hash i5 1686841178 1000000 random 1000 1000 master 0 43479 5618 seqscan cached 1 70 1026 55978.90 141.223000
hash i5 1686841178 1000000 random 1000 1000 master 0 43479 5618 indexscan uncached 2 232 971 3977.41 160.340000
hash i5 1686841179 1000000 random 1000 1000 master 0 43479 5618 indexscan cached 2 232 971 3977.41 9.508000
hash i5 1686841179 1000000 random 1000 1000 master 0 43479 5618 bitmapscan uncached 2 272 957 3536.06 168.457000
hash i5 1686841179 1000000 random 1000 1000 master 0 43479 5618 bitmapscan cached 2 272 957 3536.06 9.417000
hash i5 1686841179 1000000 random 1000 1000 master 0 43479 5618 indexscan uncached 3 496 1025 3977.41 172.710000
hash i5 1686841180 1000000 random 1000 1000 master 0 43479 5618 indexscan cached 3 496 1025 3977.41 9.485000
hash i5 1686841180 1000000 random 1000 1000 master 0 43479 5618 bitmapscan uncached 3 407 1041 3536.06 179.698000
hash i5 1686841181 1000000 random 1000 1000 master 0 43479 5618 bitmapscan cached 3 407 1041 3536.06 9.788000
hash i5 1686841181 1000000 random 1000 1000 master 0 43479 5618 indexscan uncached 4 731 989 3977.41 162.942000
hash i5 1686841181 1000000 random 1000 1000 master 0 43479 5618 indexscan cached 4 731 989 3977.41 9.522000
hash i5 1686841181 1000000 random 1000 1000 master 0 43479 5618 bitmapscan uncached 4 698 1046 3536.06 183.132000
hash i5 1686841182 1000000 random 1000 1000 master 0 43479 5618 bitmapscan cached 4 698 1046 3536.06 9.817000
hash i5 1686841182 1000000 random 1000 1000 master 0 43479 5618 indexscan uncached 5 987 947 3977.41 158.518000
hash i5 1686841182 1000000 random 1000 1000 master 0 43479 5618 indexscan cached 5 987 947 3977.41 9.384000
hash i5 1686841182 1000000 random 1000 1000 master 0 43479 5618 bitmapscan uncached 5 815 938 3536.06 162.804000
hash i5 1686841183 1000000 random 1000 1000 master 0 43479 5618 bitmapscan cached 5 815 938 3536.06 9.500000
hash i5 1686841183 1000000 random 1000 1000 master 32 43479 5618 indexscan uncached 1 135 999 3977.41 165.599000
hash i5 1686841183 1000000 random 1000 1000 master 32 43479 5618 indexscan cached 1 135 999 3977.41 9.423000
hash i5 1686841183 1000000 random 1000 1000 master 32 43479 5618 bitmapscan uncached 1 192 962 3536.06 34.855000
hash i5 1686841184 1000000 random 1000 1000 master 32 43479 5618 bitmapscan cached 1 192 962 3536.06 9.609000
hash i5 1686841184 1000000 random 1000 1000 master 32 43479 5618 seqscan uncached 1 131 1043 55978.90 372.430000
hash i5 1686841184 1000000 random 1000 1000 master 32 43479 5618 seqscan cached 1 131 1043 55978.90 140.884000
hash i5 1686841185 1000000 random 1000 1000 master 32 43479 5618 indexscan uncached 2 263 1022 3977.41 171.626000
hash i5 1686841185 1000000 random 1000 1000 master 32 43479 5618 indexscan cached 2 263 1022 3977.41 9.258000
hash i5 1686841185 1000000 random 1000 1000 master 32 43479 5618 bitmapscan uncached 2 239 1000 3536.06 31.184000
hash i5 1686841185 1000000 random 1000 1000 master 32 43479 5618 bitmapscan cached 2 239 1000 3536.06 9.792000
hash i5 1686841186 1000000 random 1000 1000 master 32 43479 5618 indexscan uncached 3 417 996 3977.41 167.339000
hash i5 1686841186 1000000 random 1000 1000 master 32 43479 5618 indexscan cached 3 417 996 3977.41 9.630000
hash i5 1686841186 1000000 random 1000 1000 master 32 43479 5618 bitmapscan uncached 3 428 956 3536.06 29.433000
hash i5 1686841186 1000000 random 1000 1000 master 32 43479 5618 bitmapscan cached 3 428 956 3536.06 9.756000
hash i5 1686841186 1000000 random 1000 1000 master 32 43479 5618 indexscan uncached 4 610 989 3977.41 163.283000
