test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration
btree i5 1688002823 50000000 random 1000 50000 master 0 2173914 44240 indexscan uncached 1 5776 1009 3977.81 169.090000
btree i5 1688002824 50000000 random 1000 50000 master 0 2173914 44240 indexscan cached 1 5776 1009 3977.81 8.831000
btree i5 1688002824 50000000 random 1000 50000 master 0 2173914 44240 bitmapscan uncached 1 6808 921 3917.31 153.405000
btree i5 1688002825 50000000 random 1000 50000 master 0 2173914 44240 bitmapscan cached 1 6808 921 3917.31 8.669000
btree i5 1688002825 50000000 random 1000 50000 master 0 2173914 44240 seqscan uncached 1 3091 990 2798914.30 15621.073000
btree i5 1688002841 50000000 random 1000 50000 master 0 2173914 44240 seqscan cached 1 3091 990 2798914.30 15466.658000
btree i5 1688002856 50000000 random 1000 50000 master 0 2173914 44240 indexscan uncached 2 13759 954 3977.81 159.019000
btree i5 1688002857 50000000 random 1000 50000 master 0 2173914 44240 indexscan cached 2 13759 954 3977.81 8.722000
btree i5 1688002857 50000000 random 1000 50000 master 0 2173914 44240 bitmapscan uncached 2 16319 977 3917.31 165.933000
btree i5 1688002858 50000000 random 1000 50000 master 0 2173914 44240 bitmapscan cached 2 16319 977 3917.31 8.998000
btree i5 1688002858 50000000 random 1000 50000 master 0 2173914 44240 indexscan uncached 3 21787 956 3977.81 162.494000
btree i5 1688002858 50000000 random 1000 50000 master 0 2173914 44240 indexscan cached 3 21787 956 3977.81 8.754000
btree i5 1688002858 50000000 random 1000 50000 master 0 2173914 44240 bitmapscan uncached 3 28661 1026 3917.31 178.524000
btree i5 1688002859 50000000 random 1000 50000 master 0 2173914 44240 bitmapscan cached 3 28661 1026 3917.31 9.244000
btree i5 1688002859 50000000 random 1000 50000 master 0 2173914 44240 indexscan uncached 4 30324 1014 3977.81 164.585000
btree i5 1688002859 50000000 random 1000 50000 master 0 2173914 44240 indexscan cached 4 30324 1014 3977.81 8.735000
btree i5 1688002859 50000000 random 1000 50000 master 0 2173914 44240 bitmapscan uncached 4 32558 1025 3917.31 171.343000
btree i5 1688002860 50000000 random 1000 50000 master 0 2173914 44240 bitmapscan cached 4 32558 1025 3917.31 9.048000
btree i5 1688002860 50000000 random 1000 50000 master 0 2173914 44240 indexscan uncached 5 49762 990 3977.81 164.965000
btree i5 1688002860 50000000 random 1000 50000 master 0 2173914 44240 indexscan cached 5 49762 990 3977.81 8.517000
btree i5 1688002860 50000000 random 1000 50000 master 0 2173914 44240 bitmapscan uncached 5 41069 1002 3917.31 169.789000
btree i5 1688002861 50000000 random 1000 50000 master 0 2173914 44240 bitmapscan cached 5 41069 1002 3917.31 9.122000
btree i5 1688002861 50000000 random 1000 50000 master 32 2173914 44240 indexscan uncached 1 9723 1054 3977.81 173.943000
btree i5 1688002862 50000000 random 1000 50000 master 32 2173914 44240 indexscan cached 1 9723 1054 3977.81 8.873000
btree i5 1688002862 50000000 random 1000 50000 master 32 2173914 44240 bitmapscan uncached 1 6222 1001 3917.31 35.839000
btree i5 1688002862 50000000 random 1000 50000 master 32 2173914 44240 bitmapscan cached 1 6222 1001 3917.31 9.198000
btree i5 1688002862 50000000 random 1000 50000 master 32 2173914 44240 seqscan uncached 1 5523 976 2798914.30 16091.540000
btree i5 1688002878 50000000 random 1000 50000 master 32 2173914 44240 seqscan cached 1 5523 976 2798914.30 15071.906000
btree i5 1688002894 50000000 random 1000 50000 master 32 2173914 44240 indexscan uncached 2 13888 1002 3977.81 163.871000
btree i5 1688002895 50000000 random 1000 50000 master 32 2173914 44240 indexscan cached 2 13888 1002 3977.81 8.996000
btree i5 1688002895 50000000 random 1000 50000 master 32 2173914 44240 bitmapscan uncached 2 10047 989 3917.31 33.594000
btree i5 1688002895 50000000 random 1000 50000 master 32 2173914 44240 bitmapscan cached 2 10047 989 3917.31 9.135000
btree i5 1688002895 50000000 random 1000 50000 master 32 2173914 44240 indexscan uncached 3 28496 1031 3977.81 171.274000
btree i5 1688002896 50000000 random 1000 50000 master 32 2173914 44240 indexscan cached 3 28496 1031 3977.81 8.787000
btree i5 1688002896 50000000 random 1000 50000 master 32 2173914 44240 bitmapscan uncached 3 20130 963 3917.31 31.609000
btree i5 1688002896 50000000 random 1000 50000 master 32 2173914 44240 bitmapscan cached 3 20130 963 3917.31 9.222000
btree i5 1688002896 50000000 random 1000 50000 master 32 2173914 44240 indexscan uncached 4 35428 965 3977.81 169.397000
btree i5 1688002896 50000000 random 1000 50000 master 32 2173914 44240 indexscan cached 4 35428 965 3977.81 8.488000
btree i5 1688002896 50000000 random 1000 50000 master 32 2173914 44240 bitmapscan uncached 4 31912 964 3917.31 31.641000
btree i5 1688002897 50000000 random 1000 50000 master 32 2173914 44240 bitmapscan cached 4 31912 964 3917.31 9.014000
btree i5 1688002897 50000000 random 1000 50000 master 32 2173914 44240 indexscan uncached 5 40500 985 3977.81 167.416000
btree i5 1688002897 50000000 random 1000 50000 master 32 2173914 44240 indexscan cached 5 40500 985 3977.81 8.532000
btree i5 1688002897 50000000 random 1000 50000 master 32 2173914 44240 bitmapscan uncached 5 41142 1048 3917.31 32.202000
btree i5 1688002898 50000000 random 1000 50000 master 32 2173914 44240 bitmapscan cached 5 41142 1048 3917.31 9.353000
btree i5 1688002898 50000000 random 1000 50000 patched 0 2173914 44240 indexscan uncached 1 5021 989 3977.81 166.525000
btree i5 1688002899 50000000 random 1000 50000 patched 0 2173914 44240 indexscan cached 1 5021 989 3977.81 8.559000
btree i5 1688002899 50000000 random 1000 50000 patched 0 2173914 44240 bitmapscan uncached 1 8695 969 3917.31 161.163000
btree i5 1688002899 50000000 random 1000 50000 patched 0 2173914 44240 bitmapscan cached 1 8695 969 3917.31 8.809000
btree i5 1688002899 50000000 random 1000 50000 patched 0 2173914 44240 seqscan uncached 1 7017 966 2798914.30 15114.522000
btree i5 1688002915 50000000 random 1000 50000 patched 0 2173914 44240 seqscan cached 1 7017 966 2798914.30 15129.114000
btree i5 1688002930 50000000 random 1000 50000 patched 0 2173914 44240 indexscan uncached 2 14341 1067 3977.81 179.110000
btree i5 1688002931 50000000 random 1000 50000 patched 0 2173914 44240 indexscan cached 2 14341 1067 3977.81 8.581000
btree i5 1688002931 50000000 random 1000 50000 patched 0 2173914 44240 bitmapscan uncached 2 13460 983 3917.31 162.735000
btree i5 1688002931 50000000 random 1000 50000 patched 0 2173914 44240 bitmapscan cached 2 13460 983 3917.31 9.059000
btree i5 1688002931 50000000 random 1000 50000 patched 0 2173914 44240 indexscan uncached 3 28167 1039 3977.81 170.911000
btree i5 1688002932 50000000 random 1000 50000 patched 0 2173914 44240 indexscan cached 3 28167 1039 3977.81 8.741000
btree i5 1688002932 50000000 random 1000 50000 patched 0 2173914 44240 bitmapscan uncached 3 22004 1009 3917.31 169.014000
btree i5 1688002932 50000000 random 1000 50000 patched 0 2173914 44240 bitmapscan cached 3 22004 1009 3917.31 9.155000
btree i5 1688002932 50000000 random 1000 50000 patched 0 2173914 44240 indexscan uncached 4 34108 1026 3977.81 175.301000
btree i5 1688002933 50000000 random 1000 50000 patched 0 2173914 44240 indexscan cached 4 34108 1026 3977.81 8.856000
btree i5 1688002933 50000000 random 1000 50000 patched 0 2173914 44240 bitmapscan uncached 4 32907 1016 3917.31 169.732000
btree i5 1688002933 50000000 random 1000 50000 patched 0 2173914 44240 bitmapscan cached 4 32907 1016 3917.31 8.883000
btree i5 1688002933 50000000 random 1000 50000 patched 0 2173914 44240 indexscan uncached 5 43317 1058 3977.81 178.423000
btree i5 1688002934 50000000 random 1000 50000 patched 0 2173914 44240 indexscan cached 5 43317 1058 3977.81 8.308000
btree i5 1688002934 50000000 random 1000 50000 patched 0 2173914 44240 bitmapscan uncached 5 48026 934 3917.31 159.441000
btree i5 1688002934 50000000 random 1000 50000 patched 0 2173914 44240 bitmapscan cached 5 48026 934 3917.31 9.053000
btree i5 1688002935 50000000 random 1000 50000 patched 32 2173914 44240 indexscan uncached 1 9075 1014 3977.81 31.985000
btree i5 1688002935 50000000 random 1000 50000 patched 32 2173914 44240 indexscan cached 1 9075 1014 3977.81 8.817000
btree i5 1688002935 50000000 random 1000 50000 patched 32 2173914 44240 bitmapscan uncached 1 5687 1022 3917.31 31.780000
btree i5 1688002935 50000000 random 1000 50000 patched 32 2173914 44240 bitmapscan cached 1 5687 1022 3917.31 9.353000
btree i5 1688002935 50000000 random 1000 50000 patched 32 2173914 44240 seqscan uncached 1 8743 995 2798914.30 15121.214000
btree i5 1688002951 50000000 random 1000 50000 patched 32 2173914 44240 seqscan cached 1 8743 995 2798914.30 15147.584000
btree i5 1688002966 50000000 random 1000 50000 patched 32 2173914 44240 indexscan uncached 2 14451 1008 3977.81 32.623000
btree i5 1688002967 50000000 random 1000 50000 patched 32 2173914 44240 indexscan cached 2 14451 1008 3977.81 8.920000
btree i5 1688002967 50000000 random 1000 50000 patched 32 2173914 44240 bitmapscan uncached 2 15573 959 3917.31 29.849000
btree i5 1688002967 50000000 random 1000 50000 patched 32 2173914 44240 bitmapscan cached 2 15573 959 3917.31 9.114000
btree i5 1688002967 50000000 random 1000 50000 patched 32 2173914 44240 indexscan uncached 3 27181 1033 3977.81 35.744000
btree i5 1688002968 50000000 random 1000 50000 patched 32 2173914 44240 indexscan cached 3 27181 1033 3977.81 8.934000
btree i5 1688002968 50000000 random 1000 50000 patched 32 2173914 44240 bitmapscan uncached 3 20217 1041 3917.31 32.244000
btree i5 1688002968 50000000 random 1000 50000 patched 32 2173914 44240 bitmapscan cached 3 20217 1041 3917.31 9.196000
btree i5 1688002968 50000000 random 1000 50000 patched 32 2173914 44240 indexscan uncached 4 37091 971 3977.81 31.798000
btree i5 1688002969 50000000 random 1000 50000 patched 32 2173914 44240 indexscan cached 4 37091 971 3977.81 8.794000
btree i5 1688002969 50000000 random 1000 50000 patched 32 2173914 44240 bitmapscan uncached 4 33476 1028 3917.31 34.404000
btree i5 1688002969 50000000 random 1000 50000 patched 32 2173914 44240 bitmapscan cached 4 33476 1028 3917.31 9.464000
