test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration
btree i5 1687996463 1000000 random 1000 1000 master 0 43479 888 indexscan uncached 1 31 1016 3961.85 167.873000
btree i5 1687996464 1000000 random 1000 1000 master 0 43479 888 indexscan cached 1 31 1016 3961.85 9.647000
btree i5 1687996464 1000000 random 1000 1000 master 0 43479 888 bitmapscan uncached 1 149 1020 3519.82 168.230000
btree i5 1687996464 1000000 random 1000 1000 master 0 43479 888 bitmapscan cached 1 149 1020 3519.82 9.051000
btree i5 1687996464 1000000 random 1000 1000 master 0 43479 888 seqscan uncached 1 121 968 55978.90 353.650000
btree i5 1687996465 1000000 random 1000 1000 master 0 43479 888 seqscan cached 1 121 968 55978.90 144.709000
btree i5 1687996465 1000000 random 1000 1000 master 0 43479 888 indexscan uncached 2 322 1022 3961.85 169.806000
btree i5 1687996467 1000000 random 1000 1000 master 0 43479 888 indexscan cached 2 322 1022 3961.85 8.810000
btree i5 1687996467 1000000 random 1000 1000 master 0 43479 888 bitmapscan uncached 2 279 1070 3519.82 180.470000
btree i5 1687996467 1000000 random 1000 1000 master 0 43479 888 bitmapscan cached 2 279 1070 3519.82 8.977000
btree i5 1687996467 1000000 random 1000 1000 master 0 43479 888 indexscan uncached 3 586 959 3961.85 159.429000
btree i5 1687996468 1000000 random 1000 1000 master 0 43479 888 indexscan cached 3 586 959 3961.85 8.507000
btree i5 1687996468 1000000 random 1000 1000 master 0 43479 888 bitmapscan uncached 3 458 998 3519.82 172.696000
btree i5 1687996468 1000000 random 1000 1000 master 0 43479 888 bitmapscan cached 3 458 998 3519.82 8.761000
btree i5 1687996468 1000000 random 1000 1000 master 0 43479 888 indexscan uncached 4 760 1025 3961.85 169.223000
btree i5 1687996469 1000000 random 1000 1000 master 0 43479 888 indexscan cached 4 760 1025 3961.85 8.481000
btree i5 1687996469 1000000 random 1000 1000 master 0 43479 888 bitmapscan uncached 4 759 984 3519.82 167.780000
btree i5 1687996469 1000000 random 1000 1000 master 0 43479 888 bitmapscan cached 4 759 984 3519.82 8.921000
btree i5 1687996469 1000000 random 1000 1000 master 0 43479 888 indexscan uncached 5 917 1007 3961.85 168.919000
btree i5 1687996470 1000000 random 1000 1000 master 0 43479 888 indexscan cached 5 917 1007 3961.85 10.999000
btree i5 1687996470 1000000 random 1000 1000 master 0 43479 888 bitmapscan uncached 5 839 993 3519.82 172.444000
