test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration
btree-sort i5 1688020764 1000000 random 1000 1000 master 0 43479 888 indexscan uncached 1 67 1001 207.84 171.554000
btree-sort i5 1688020765 1000000 random 1000 1000 master 0 43479 888 indexscan cached 1 67 1001 207.84 10.310000
btree-sort i5 1688020765 1000000 random 1000 1000 master 0 43479 888 bitmapscan uncached 1 47 1001 118467.59 517.401000
btree-sort i5 1688020766 1000000 random 1000 1000 master 0 43479 888 bitmapscan cached 1 47 1001 118467.59 177.233000
btree-sort i5 1688020766 1000000 random 1000 1000 master 0 43479 888 seqscan uncached 1 10 1001 110323.50 413.054000
btree-sort i5 1688020767 1000000 random 1000 1000 master 0 43479 888 seqscan cached 1 10 1001 110323.50 189.283000
btree-sort i5 1688020767 1000000 random 1000 1000 master 0 43479 888 indexscan uncached 2 291 1001 265.58 167.609000
btree-sort i5 1688020767 1000000 random 1000 1000 master 0 43479 888 indexscan cached 2 291 1001 265.58 9.125000
btree-sort i5 1688020767 1000000 random 1000 1000 master 0 43479 888 bitmapscan uncached 2 383 1001 92108.63 455.457000
btree-sort i5 1688020768 1000000 random 1000 1000 master 0 43479 888 bitmapscan cached 2 383 1001 92108.63 141.422000
btree-sort i5 1688020768 1000000 random 1000 1000 master 0 43479 888 indexscan uncached 3 421 1001 321.31 170.752000
btree-sort i5 1688020769 1000000 random 1000 1000 master 0 43479 888 indexscan cached 3 421 1001 321.31 8.705000
btree-sort i5 1688020769 1000000 random 1000 1000 master 0 43479 888 bitmapscan uncached 3 554 1001 78473.04 477.845000
btree-sort i5 1688020770 1000000 random 1000 1000 master 0 43479 888 bitmapscan cached 3 554 1001 78473.04 121.261000
btree-sort i5 1688020770 1000000 random 1000 1000 master 0 43479 888 indexscan uncached 4 794 1001 856.82 168.689000
btree-sort i5 1688020770 1000000 random 1000 1000 master 0 43479 888 indexscan cached 4 794 1001 856.82 8.708000
btree-sort i5 1688020770 1000000 random 1000 1000 master 0 43479 888 bitmapscan uncached 4 799 1001 59465.42 381.391000
btree-sort i5 1688020771 1000000 random 1000 1000 master 0 43479 888 bitmapscan cached 4 799 1001 59465.42 85.858000
btree-sort i5 1688020771 1000000 random 1000 1000 master 0 43479 888 indexscan uncached 5 857 1001 1228.67 168.929000
btree-sort i5 1688020772 1000000 random 1000 1000 master 0 43479 888 indexscan cached 5 857 1001 1228.67 8.997000
btree-sort i5 1688020772 1000000 random 1000 1000 master 0 43479 888 bitmapscan uncached 5 987 1001 30056.85 990.215000
btree-sort i5 1688020773 1000000 random 1000 1000 master 0 43479 888 bitmapscan cached 5 987 1001 30056.85 22.019000
